小区名称,均价(元/㎡),地址,板块,建成年份,在售套数
电信高层,15136,高新-高新一中 高新区科技路与高新路十字西南角,高新一中,2009,0
地税局家属院,7547,高新-高新四路 西安市雁塔区科技路19号,高新四路,2009,0
导航家园,13206,高新-徐家庄 光华路1号,徐家庄,1993,0
大寨路新华小区,6998,高新-科技路西口 丈八北路6号,科技路西口,2000,0
大寨子村小区,,高新-大寨路 大寨路,大寨路,,0
东滩社区北区,,高新-锦业路 丈八西路,锦业路,1994,0
电子科技集团第二十研究所家属院,,"高新-徐家庄 二环南路,近白沙路",徐家庄,2001,0
导航所小区北区,,高新-徐家庄 高新路,徐家庄,,0
二十所社区,12068,高新-徐家庄 光华路1号,徐家庄,1998,0
枫景观天下,29021,高新-高新一中 高新4路30号,高新一中,2008,0
枫叶大厦,17753,高新-高新一中 高新路63号,高新一中,2003,0
沣惠南路130号,7600,高新-科技路西口 西安市高新区科技路与沣惠南路交汇处向北500..,科技路西口,2002,0
付三号院,,高新-徐家庄 高新路,徐家庄,1998,0
高新尊贵壹方,13040,高新-软件园 科技路与丈八北路交汇向南300米,软件园,,0
高新·云熙港,23091,高新-大学城 三期规划六路与规划十六路交汇处,大学城,,0
高新尚品,21000,高新-科技六路 经五路与科技七路十字东南角,科技六路,2023,0
高科·云天,30291,高新-软件新城 天谷三路与云水三路十字交汇处东北角,软件新城,2025,0
高新水晶岛,9887,高新-科技六路 沣惠南路38号,科技六路,2004,0
高新未未来,10617,高新-锦业路 硕士路33号,锦业路,2015,0
高新尊寓,22798,高新-高新四路 南二环与群贤路交汇处向南300米,高新四路,2018,0
高新智尚,15272,高新-科技路西口 科技路与丈八北路十字向南350米,科技路西口,2023,0
高新有色金属家属院,16394,高新-高新一中 高新路南段20米,高新一中,1999,0
高新邮政家属院,19830,高新-高新一中 科技路世纪金花对面,高新一中,2009,0
光电园,12292,高新-软件园 科技二路77号,软件园,2010,0
高新科技花园,27200,高新-科技六路 沣惠南路与科技七路的交汇处水晶岛酒店西侧,科技六路,2013,0
高新花园,11630,高新-锦业路 丈八西路101号,锦业路,2004,0
保利云谷天汇,,"高新- 高新区丝路软件城富鱼路以南,天谷二路以北,云..",高新,2026,0
龙湖 高新云河颂,,高新- 高新区中央创新区纬二十八路以南、经二十路以西..,高新,2025,0
高新玖号院,,"高新- 高新区鱼化街道经十三路以东、科技六路以北,绍..",高新,,0
高科广场小区,,高新-高新四路 高新四路1号,高新四路,2002,0
环亚花园,25435,高新-高新一中 科技一路附10号,高新一中,2006,0
汇鑫温泉都市庭院,15974,高新-高新四路 高新南二环高新四路3号,高新四路,2009,0
汇翔苑,13394,高新-高新一中 科技一路副2号,高新一中,2000,0
汇鑫花园,11730,高新-高新四路 二环南路西段202号,高新四路,2011,0
含光路中段甲字29号,21041,高新-高新一中 含光路中段甲字29号,高新一中,2009,0
海关家属院,27020,高新-高新一中 崇业路25号,高新一中,2005,0
瀚源国际,15765,高新-徐家庄 高新科创路与太白南路十字西北角,徐家庄,2015,0
黄冠小区,,高新-高新四路 (碑林) 和平路黄冠小区,高新四路,,0
红叶大厦小区,,高新-高新四路 高新四路和科技路十字,高新四路,1998,0
汇鑫温泉高级小区,,高新-高新四路 二环南路西段6号,高新四路,2015,0
华奥大厦小区,,高新-徐家庄 高新科技路10号,徐家庄,2004,0
海星广场小区,,高新-高新四路 科技路与高新二路交汇处,高新四路,2001,0
锦悦府,16290,高新-锦业路 锦业二路与丈八六路十字东南角,锦业路,,0
捷瑞小区,10593,高新-高新四路 二环南路西段208号,高新四路,2010,0
九座花园,8062,高新-高新四路 二环南路西段202号,高新四路,2006,0
嘉天国际,11680,高新-徐家庄 太白南路216号,徐家庄,2007,0
锦业76,14426,高新-锦业路 锦业路76号(绿地世纪城斜对面),锦业路,2011,0
金泰怡景花园,9863,高新-鱼化寨 西高新科技路西延长线(规划中西安地铁三号线西..,鱼化寨,2014,0
锦都荟,16055,高新-锦业路 锦业路与丈八六路十字西北角处,锦业路,2015,0
杰座公寓,23042,高新-科技路西口 科技路枫叶新都市北门,科技路西口,2003,0
蒋家寨小区,9346,高新-高新一中 博文路51号,高新一中,2009,0
焦化佳苑,11358,高新-大寨路 丈八北路北段(花市对面),大寨路,1999,0
锦江小区,14385,高新-徐家庄 南二环和高新路十字东,徐家庄,2009,0
交警支队家属院,14297,高新-徐家庄 科技路56号,徐家庄,2005,0
锦业居,12824,高新-锦业路 艺术大街西段56号,锦业路,2009,0
九树公寓,41550,高新-高新一中 科技二路61号,高新一中,2019,0
焦化嘉苑,8665,高新-大寨路 (雁塔) 丈八北路831号,大寨路,1999,0
净化小区,,高新-高新四路 怀德北巷288号,高新四路,2015,0
科技路家属楼,21299,高新-徐家庄 科技路与白沙路交汇处,徐家庄,2005,0
科创路天然气家属院,32621,高新-高新一中 科创路030号,高新一中,2009,0
科技路副三号院,12860,高新-徐家庄 二环南路西段150号市政小区隔壁,徐家庄,,0
昆明路造纸厂家属院,5890,高新-大寨路 西安市昆明路与团结南路交汇处向南200米路西,大寨路,1998,0
蓝城环球中心,43317,高新-高新四路 高新科技路与高新四路十字东北角(香格里拉酒店..,高新四路,,0
丽湾蓝岛,9798,高新-徐家庄 科创路3号,徐家庄,2004,0
廊桥逸景,19744,高新-科技六路 城西西户路口北靠312国道南邻西户路,科技六路,2009,0
绿地诺丁山,40047,高新-锦业路 锦业路1号诺丁山,锦业路,2012,0
莱安星座,12991,高新-科技路西口 大寨路6号(大寨路与唐延路什字向西300米),科技路西口,2015,0
燎原小学家属院,7911,高新-徐家庄 (雁塔) 科技路燎原小学家属院,徐家庄,1995,0
龙湖·青云阙 昱府,,高新- 高新区兴隆街道规划二路以西、经三十四路以东、..,高新,2025,0
领先时代广场小区,,高新-唐延路 高新路86号,唐延路,2000,0
绿城秋月苑,,高新-软件新城 科技四路与丈八北路交汇处,软件新城,2026,0
绿地都市之门,,高新-高新路,高新路,,0
里花水社区,,高新-锦业路 丈八六路,锦业路,2001,0
亮丽住宅楼,,"高新-唐延路 唐延路以东,科技四路以南",唐延路,,0
玫瑰大楼,16369,高新-高新四路 科技路25号,高新四路,2000,0
摩登BOBO,12727,高新-徐家庄 白沙路3号,徐家庄,2005,0
名园新居,17645,高新-徐家庄 科技路10号,徐家庄,2005,0
锦尚名城,19685,高新-锦业路 锦业路与西三环交汇处的西南角(西三环西侧),锦业路,2015,0
名城天下,15909,高新-高新一中 高新路73号,高新一中,2016,0
民洁小区,10110,高新-大寨路 民洁路2号,大寨路,2000,0
迷你国度,9968,高新-徐家庄 高新区科创路1号,徐家庄,2006,0
木塔寨家属院,14279,高新-科技六路 科技七路2号,科技六路,2006,0
漫谷美域,,高新-鱼化寨 沣惠渠东侧,鱼化寨,2012,0
木塔寨北村安置小区,,"高新-科技六路 木塔一路,近科技六路",科技六路,,0
民航小区西区(唐延路),,高新-高新四路 唐延路3号,高新四路,,0
南飞鸿康缔大厦,10659,高新-软件新城 雁塔区科技二路与西三环路交汇处,软件新城,2022,0
楠竹庭苑,,高新-电子城 东兴巷,电子城,2008,0
南窑头社区东区,,高新-唐延路 团结南路,唐延路,2010,0
培华小区,8718,高新-徐家庄 白沙路5号,徐家庄,2002,0
旗远锦樾,13368,高新-锦业路 锦业路36号,锦业路,2013,0
七克拉晶座,11805,高新-锦业路 高新区锦业路与丈八三路交汇东北角,锦业路,2010,0
秦农银行住宅区,8330,高新-科技路西口 丈八沟街道丈八北路489号秦农银行家属院,科技路西口,2001,0
庆安昆明路小区50号院,7140,高新-大寨路 昆明路50号,大寨路,1995,0
启迪中心 | 创公馆住宅,,高新-唐延路 科技二路67号启迪科技园,唐延路,,0
荣民捌号,21182,高新-软件园 科技一路与丈八北路交汇处东南角,软件园,,0
融鑫科技公寓,29166,高新-徐家庄 高新高新融鑫路8号,徐家庄,2009,0
融创珺庭府,21988,高新-锦业路 锦业三路与比亚迪路十字东南方向,锦业路,2023,0
日化小区,8411,高新-科技路西口 丈八北路4号,科技路西口,2000,0
热力小区,8177,高新-大寨路 民洁路3号,大寨路,2014,0
融鑫路电信小区,9547,高新-徐家庄 融鑫路3号,徐家庄,2009,0
人民银行西安分行家属院,20456,高新-高新一中 高新路49号,高新一中,2007,0
荣民玖号,,高新-高新四路 高新二路与光泰路交汇处西北角,高新四路,,0
乳驾庄社区,,高新-锦业路 西部大道,锦业路,1998,0
盛世华庭,10786,高新-徐家庄 高新博文路9号,徐家庄,2003,0
萨菲尔名邸,7308,高新-徐家庄 高新科技路20号,徐家庄,2007,0
世纪颐园,10543,高新-高新四路 科技路195号,高新四路,2005,0
四季风景,21560,高新-高新一中 高新高新区科技二路28号,高新一中,2004,0
世家第五季,43322,高新-西万路口 东仪路人人乐南100米路,西万路口,2009,0
尚中心,13157,高新-高新一中 高新路51号,高新一中,2014,0
山西证券大厦,6598,高新-高新四路 高新二路2号,高新四路,2009,0
三五一一社区,8749,高新-大寨路 昆明路2号,大寨路,2000,0
世纪公寓,7422,高新-徐家庄 高新路25号,徐家庄,1999,0
水电十五局家属院,10655,高新-徐家庄 科技路16号中国水电大厦,徐家庄,2010,0
市建总公司家属院,23648,高新-高新一中 科技一路高新一幼对面,高新一中,2008,0
数字生活365,8912,高新-科技六路 高新水晶岛以北(科技六路与沣惠南路交汇处以西..,科技六路,2011,0
陕西省总工会家属院,16322,高新-高新一中 科技一路4号,高新一中,2009,0
陕西高速集团西宝分公司住宅区,19275,高新-高新一中 高新路63号,高新一中,2001,0
尚怡园,23572,高新-高新四路 西沣路与韦郭路十字西南角,高新四路,2012,0
沙井宜居,10201,高新-科技六路 太白南路168号,科技六路,2008,0
陕西宾馆红房家属院,12143,高新-科技六路 (雁塔) 丈八东路陕西宾馆红房家属院,科技六路,1983,0
市政小区(雁塔),10457,"高新-徐家庄 (雁塔) 环南路西段150号, 二环南路西段..",徐家庄,1996,0
双旗寨小区,,高新-软件新城 天谷三路2057号,软件新城,2022,0
市级机关永松路三号院,,高新-高新路,高新路,,0
陕西地建公寓楼,,高新-高新四路 光泰路,高新四路,2004,0
天地源棠樾坊,19048,高新-CID中央创新区 中央创新区双江二路与兴隆三路十字东北角,CID中央创新区,2024,0
太白花园,10369,高新-徐家庄 科技路10号,徐家庄,2000,0
天地源杰座名园,17929,高新-科技路西口 高新科技路与团结南路交汇处,科技路西口,2010,0
天幕阔景,15741,高新-高新四路 科技路33号,高新四路,2003,0
唐延公馆,14885,高新-高新一中 科技一路58号,高新一中,2013,0
天然气公司家属院,9110,高新-大寨路 高新区大寨路与昆明池路交汇处向北500米路东,大寨路,2005,0
天然气家属院,8562,高新-高新四路 南二环秦华天然气公司旁,高新四路,1998,0
田园公寓,9376,高新-锦业路 高新区新型工业园艺术大街东段东侧,锦业路,2006,0
团省委家属院,10241,高新-公交五公司 含光路北段邮电北巷张家村街道办隔壁,公交五公司,2005,0
桃园湖高级住宅区,23490,高新-高新四路 高新四路甲字1号,高新四路,1999,0
天然气小区(雁塔),20746,高新-高新一中 (雁塔) 科创路30号,高新一中,1997,0
特警支队家属院,6989,高新-科技路西口 (雁塔) 唐延路特警支队家属院,科技路西口,1998,0
天地源棠颂坊,26839,"高新-大学城 中央创新区纬三十五路以北,经二十六路以西,经..",大学城,,0
天地源·永安观棠,,高新- 高新区细柳街道纬二十六路以南、纬三十路以北、..,高新,2026,0
五龙·悦苑,17366,高新-西万路口 西沣路与西部大道交汇处东北角,西万路口,,0
梧桐朗座,10607,高新-科技路西口 科技路70号,科技路西口,2006,0
万科高新生活广场,16401,高新-西万路口 西沣路与雁环路交汇处东北角,西万路口,2016,0
五洲国际,18708,高新-高新四路 高新二路与南二环交汇处,高新四路,2009,0
五米魔方,8434,高新-软件园 高新六路32号,软件园,2008,0
五十三中家属院,8539,高新-公交五公司 雁塔区白沙路中段,公交五公司,1998,0
外贸单位家属院,24525,高新-高新一中 高新一路37号,高新一中,2004,0
外贸局家属院(科技路),,高新-高新一中 高新一路37号,高新一中,,0
万达·天鼎小区,,高新-科技六路 唐延路与科技六路交汇处(东南角),科技六路,,0
西安昆明城市花园,,高新-大寨路 昆明路三号桥对面创新路北口,大寨路,2017,0
新科花园,8663,高新-徐家庄 科技路和白沙路交汇处向西150米,徐家庄,1998,0
新科大厦,8737,高新-徐家庄 科技路18号,徐家庄,2008,0
西电科大家属院,12090,高新-公交五公司 光华路西安电子科技大学,公交五公司,2009,0
鑫汇苑小区,6087,高新-大寨路 昆明路三号桥附近,大寨路,2009,0
消防小区,12830,高新-科技六路 科技七路8号,科技六路,2002,0
鑫宇住宅小区,17753,高新-高新一中 高新区科技一路2号,高新一中,2007,0
西大家属院,15093,高新-高新四路 高新四路西大桃园校区,高新四路,2009,0
西水水岸阳光,29658,高新-科技六路 丈八沟街道科技七路4号,科技六路,2016,0
信合小区家属院,25449,高新-科技路西口 科技路西口华润万家旁边,科技路西口,2005,0
响塘文苑,31404,高新-科技路西口 科技路298号,科技路西口,2015,0
西安医学院高新校区,12091,高新-徐家庄 (雁塔) 西安医学院高新校区,徐家庄,2005,0
西安文理学院太白校区家属院,8583,高新-徐家庄 (雁塔) 太白南路212号,徐家庄,1997,0
西安市天燃气总公司住宅小区,8687,高新-大寨路 丈八北路540号,大寨路,1998,0
西安焦化老南区小区,7704,高新-科技六路 丈八北路1号,科技六路,1998,0
西安焦化厂丈八北路小区,,高新-大寨路 丈八北路1号,大寨路,,0
西滩村安置小区,,高新-锦业路 丈八西路,锦业路,,0
辛家坡花园小区,,高新-科技六路 太白南路,科技六路,1993,0
肖里新居时代,,高新-鱼化寨 富源二路195号,鱼化寨,2013,0
细柳社区,,高新-锦业路 毕原二路,锦业路,2013,0
西北物资家属院,,高新-太白立交 友谊西路470号,太白立交,,0
西安通信学院生活区,,高新-电子城 丈东八路,电子城,,0
西安市残疾人联合会家属院,,高新-太白立交 二环南路西段17号,太白立交,,0
西安电子科技大学长安校区家属区E区,,高新-大学城 西沣路,大学城,1998,0
西安电子科技大学长安校区家属区,,高新-大学城 西太路,大学城,1998,0
赢园雅筑,9150,高新-软件园 高新开发区科技一路59号,软件园,2008,0
雍信花园,14737,高新-高新一中 高新路附49号,高新一中,2002,0
亚美大厦,13623,高新-高新四路 陕西省西安市高新区科技路39号,高新四路,2000,0
阳光公寓,11751,高新-高新一中 科技路附28号,高新一中,1998,0
药监局家属院,24140,高新-高新四路 高新四路,高新四路,2005,0
银河职工公寓,10285,高新-高新一中 (雁塔) 唐延路银河职工公寓,高新一中,2008,0
邮政小区(雁塔),13112,高新-高新一中 (雁塔) 科技路36号,高新一中,2000,0
悦苑,,高新-西万路口 沈家桥四路160号,西万路口,,0
岳旗寨安置楼,,高新-鱼化寨 富源五路,鱼化寨,,0
余家庄,,高新-锦业路 丈八西路,锦业路,,0
延长石油小区(雁塔区),,高新-科技路西口 沣惠南路,科技路西口,1998,0
紫薇时光云境,,高新-软件新城 高新区鱼化街办科技五路以南、邵文路以北、化龙..,软件新城,2026,0
紫薇华发云峰里,17933,"高新-软件新城 规划二十八路以北,经二十二路以西,经二十六路..",软件新城,,0
紫薇云上,27381,高新-大学城 中央创新区纬三十二路与经二十路西北角,大学城,,0
紫薇之家,26088,高新-西万路口 西安市西万路甲字一号,西万路口,2000,0
紫薇康馨公寓,12334,高新-锦业路 锦业4路1号,锦业路,2006,0
卓越里,,高新-鱼化寨 鱼跃路与富源二路交汇处西北角,鱼化寨,2023,0
紫薇龙腾新世界,10910,高新-公交五公司 西安市雁塔区科技路1号,公交五公司,2007,0
质检局家属院,14871,高新-高新一中 高新博文路北口,高新一中,2001,0
丈八家园,21527,高新-锦业路 丈八北路绿地世纪城附近,锦业路,2009,0
中联设计高新家属院,16522,高新-高新一中 高新路与科技一路交汇处华润万家旁,高新一中,2010,0
丈八壹号,13048,高新-锦业路 丈八西路丈八一号小区(丈八家园旁),锦业路,2003,0
总后西安材料仓库小区,7601,高新-大寨路 (雁塔) 丈八北路829号,大寨路,2000,0
紫薇信息公寓,11023,高新-西万路口 太白南路与丈八路交汇处,西万路口,2006,0
周宋欣苑,,高新-软件新城 天谷三路,软件新城,2024,0
制药厂福利区,,高新-城西客运站 汉城南路,城西客运站,2009,0
闸口社区,,高新-锦业路 丈八六路,锦业路,2015,0
中铁立丰城市广场小区,,高新-西万路口 丈八东路与子午大道十字西南角,西万路口,2017,0
汇鑫高级温泉小区(别墅),,高新-高新四路 二环南路西段6号,高新四路,,0
海棠三章凤鸣海棠,,高新-科技六路 雁塔区鱼化寨街道,科技六路,,0
企业壹号公园别墅,37222,高新-锦业路 西安高新区长安科技产业园西部大道2号,锦业路,2001,0
桃园湖别墅,31761,高新-高新四路 高新四路甲子一号,高新四路,2002,0
御玺御峰(别墅),,高新-锦业路 锦业二路十号,锦业路,2014,0
紫薇生态城别墅,,高新-西万路口 西安国际社区,西万路口,,0
北沈新世纪,,高新-西万路口 西安市市北沈家桥路与长沣路西北角 北沈新世纪,西万路口,2018,0
八一社区二测中心,,高新-科技六路 (雁塔) 八一社区二测中心,科技六路,,0
陈家庄小区,,高新-科技路西口 科技路68号,科技路西口,2015,0
茶张馨苑,,高新-科技六路 丈八北路与科技六路十字,科技六路,2016,0
创汇社区,,高新-锦业路 郭杜街道定昆池二路与上林苑二路接口,锦业路,2008,0
长安三建公司,,高新-锦业路 (雁塔) 西部大道1号,锦业路,,0
大仁新苑,,高新-西万路口 西沣路与韦郭路十字往南郭杜建材城对面,西万路口,2008,0
地税雁塔分局家属院,8388,高新-徐家庄 (雁塔) 科技路20号,徐家庄,1998,0
东滩社区南区,,高新-锦业路 丈八西路,锦业路,,0
付村花园,,高新-锦业路 锦业二路与丈八四路口,锦业路,2007,0
沣惠南路延长石油小区,,高新-科技路西口 西安市科技路与沣惠南路交叉口西北角向北500..,科技路西口,,0
高新尚居,,高新-锦业路 科技八路与西三环交汇处,锦业路,2014,0
甘家寨小区,,高新-徐家庄 科技二路中段,徐家庄,2012,0
高家堡,,高新-西万路口 西沣二路,西万路口,2010,0
鸿锦城天逸,15446,高新-鱼化寨 (雁塔) 化龙三路与科技二路,鱼化寨,2013,0
航天九院七七一所,9302,高新-高新一中 (雁塔) 科技二路,高新一中,2000,0
和诚,,高新-科技六路 (雁塔) 和诚,科技六路,,0
海升丽呈酒店,,高新-科技六路 沣惠南路34号,科技六路,,0
金域牟嘉,,高新-大寨路 高新丈八路与大寨路交汇处(恒大城向西约300..,大寨路,2013,0
交警大队家属楼,7547,高新-徐家庄 (长安) 交警大队家属楼,徐家庄,1998,0
昆明路小区,8226,高新-大寨路 (莲湖) 昆明路19号,大寨路,1995,0
科技路西段259号院,,高新-科技路西口 科技路西段259号,科技路西口,,0
龙韵人和,,高新-软件园 西安市雁塔区鱼丁路甲子一号,软件园,2009,0
绿地缤纷城,,高新-锦业路 (雁塔) 锦业路7号,锦业路,2013,0
铭景新城,,高新-大寨路 大寨路与民洁路交汇处向北300米,大寨路,2015,0
木塔寺社区,,高新-科技六路 科技六路西万路口万达one木塔寨社区,科技六路,2012,0
木塔永和坊,,高新-科技六路 陕西省西安市雁塔区六路中段科技,科技六路,2014,0
南窑头小区,,高新-唐延路 西安市高新区科技四路,唐延路,2010,0
南沈新苑,,高新-西万路口 雁塔区西沣一路,西万路口,2018,0
南窑头社区西区,,高新-软件园 团结南路,软件园,2010,0
铺尚新村花园,,高新-锦业路 丈八西路与丈八六路十字路口的西北角,锦业路,,0
培华学院东区,8979,高新-徐家庄 (雁塔) 白沙路5号,徐家庄,1998,0
日化南苑,10258,高新-科技路西口 鱼斗路18号,科技路西口,2017,0
融鑫路小区,9424,高新-徐家庄 (雁塔) 融鑫路六号,徐家庄,2008,0
盛景园,,高新-科技路西口 团结南路18号,科技路西口,2007,0
石桥欣苑,,高新-鱼化寨 西三环与大寨路的交界处,鱼化寨,2009,0
水利社区,6024,高新-软件园 中国鱼化寨5号,软件园,2002,0
陕煤小区,11891,高新-锦业路 锦业一路2号,锦业路,2004,0
陕西省药品监督管理局家属院,15040,高新-软件园 (雁塔) 科技五路23号,软件园,2021,0
太白里住宅小区,,高新-科技六路 太白南路中段(科技六路与丈八路之间兰乔圣菲对..,科技六路,2011,0
团结南路停车场,,高新-科技路西口 (雁塔) 团结南路2号,科技路西口,2003,0
唐延路北段小区,,高新-科技路西口 (雁塔) 唐延路北段136号,科技路西口,2000,0
文兴巷新兴大厦,,高新-科技路西口 文兴巷新兴大厦,科技路西口,2001,0
新乐城,,高新-科技路西口 大寨路与丈八北路十字东南,科技路西口,2011,0
曦城,,高新-鱼化寨 西三环与昆明路十字西南角(大寨路小学对面),鱼化寨,2014,0
新栋,,高新-科技路西口 丈八北路491号,科技路西口,2014,0
西辛庄小区,,高新-科技路西口 西安市唐兴路,科技路西口,2010,0
响塘德苑,,高新-科技路西口 团结南路,科技路西口,2014,0
西安木塔寨南村安置楼,,高新-科技六路 西安市雁塔区太白南路23号,科技六路,2016,0
西桃园社区,10336,高新-高新四路 西关街道群贤路280号,高新四路,2017,0
西沣馨苑,,高新-西万路口 沈家桥三路,西万路口,2010,0
西沙湖花园,7406,高新-锦业路 丈八西路与西三环交叉路口往西约100米,锦业路,2019,0
西北大学桃园校区,10506,"高新-高新四路 (雁塔) 高新四路, 高新四路155号",高新四路,2000,0
新新佳园,,高新-高新一中 (雁塔) 枫林路与科技二路交叉口,高新一中,,0
西安大都荟,14096,高新-高新四路 科技路305号,高新四路,2001,0
西安电子科技大学社区S,,高新-公交五公司 (雁塔) 西安电子科技大学社区S,公交五公司,1998,0
星晖瑾园,,高新-高新一中 安区五星街道,高新一中,,0
袁旗寨新村,,高新-锦业路 丈八西路与丈八六路十字路口的西南角,锦业路,2002,0
鱼斗路小区,,高新-科技路西口 (雁塔) 鱼斗路36号,科技路西口,2007,0
丈八南村,,高新-锦业路 西安市高新区丈八路,锦业路,2009,0
丈八西村,,高新-锦业路 西安市雁塔区丈八街道,锦业路,,0
漳浒寨雷家寨安置楼,,"高新-软件新城 天谷五路,近云水一路",软件新城,2017,0
皂河路小区,,高新-锦业路 (长安) 皂河路158,锦业路,,0
丈八北路北段小区,9611,高新-科技路西口 (雁塔) 丈八北路9号,科技路西口,2001,0
丈八一号,,高新-锦业路 (雁塔) 瞪羚路丈八一号,锦业路,2003,0
紫薇田园都市饮食街,,高新-锦业路 (长安) 紫薇田园都市中式文化大街,锦业路,,0
