名称,均价(元/㎡),地址,经度,纬度,片区,类型,建成年份,在售套数
保利天悦悦峰,,高新-科技六路 绍文路西安市第十四中学西南侧约70米,108.861483,34.208406,高新二期,二手房,2023,168
香榭御澄,33439,"高新-科技六路 木塔一路以东,科技八路以北",108.893390,34.200346,高新二期,二手房,2020,130
万达天樾,27297,高新-科技六路 高新路延伸段科技八路南侧,108.887216,34.196300,高新一期,二手房,2018,127
中华世纪城,15022,高新-科技路西口 西安西高新科技路西段239号,108.877855,34.235130,高新一期,二手房,2010,124
融侨城,15081,高新-大寨路 团结南路中段1号,108.877461,34.241763,高新一期,二手房,2011,122
万熙天地,18036,高新-西万路口 丈八东路与西沣路交汇处东南角,108.893401,34.187073,高新二期,二手房,2021,111
紫薇田园都市,17120,高新-锦业路 西安市高新区新型工业园,108.864943,34.169846,高新二期,二手房,2005,101
恒大城,11046,高新-大寨路 大寨路99号,108.859029,34.240783,高新一期,二手房,2010,98
宏府麒麟山,10254,高新-大寨路 大寨路129号,108.855213,34.240740,高新一期,二手房,2016,97
天地源枫林绿洲,24971,高新-科技六路 高新科技四路2号,108.891049,34.208116,高新二期,二手房,2008,93
中建国熙台,19937,高新-科技路西口 团结南路200号,108.874815,34.236711,高新一期,二手房,2015,91
逸翠园四期,29750,高新-锦业路 锦业二路与博士路十字路口东南角,108.865871,34.175061,高新二期,二手房,2016,87
逸翠园,26635,高新-锦业路 高新锦业二路10号,108.872869,34.176246,高新二期,二手房,2009,84
中航华府,14480,高新-大寨路 丈八路与大寨路交汇处1000米,108.849333,34.237322,高新一期,二手房,2017,83
苏宁云著,16331,高新-软件新城 云水一路与天谷五路东北角,108.832526,34.215188,软件新城,二手房,2022,82
万科高新华府,17117,高新-西万路口 西沣路56号,108.882770,34.174366,高新二期,二手房,2017,80
万科翡翠国宾,28615,高新-科技六路 丈八北路与科技七路交汇处,108.867958,34.200903,高新二期,二手房,2021,72
莱安逸珲,20423,高新-科技路西口 大寨路6号,108.869517,34.236908,高新一期,二手房,2015,65
金辉高新云璟,15009,高新-大寨路 西安市科技路与丈八北路十字向西200米,108.859762,34.234298,高新一期,二手房,2020,64
金地中央公园,20257,高新-西万路口 沈家桥一路与西沣三路交汇处西南角,108.888229,34.170534,高新二期,二手房,,63
东方米兰,11852,高新-科技路西口 大寨路2号,108.873101,34.238109,高新一期,二手房,2011,62
香榭兰廷,22711,高新-科技六路 科技六路木塔寺公园向东500米左右,108.893940,34.203672,高新二期,二手房,2015,62
铭城国际社区,10765,高新-大寨路 丈八路与大寨路交汇处(恒大城向西约300米),108.849996,34.240765,高新一期,二手房,2015,56
南海·高芯悦澜,14138,高新-大寨路 科技西路与石驿路交汇处东北角,108.844764,34.233586,高新一期,二手房,2025,56
万达天玺,35026,高新-科技六路 (雁塔) 木塔寺西路万达天玺,108.885537,34.200666,高新二期,二手房,2015,56
高新红枫林,13557,高新-大寨路 大寨路与团结南路交汇处西北角,108.871877,34.239971,高新一期,二手房,2011,55
昆明花园,11414,高新-大寨路 昆明路2号,108.871523,34.245324,高新一期,二手房,2011,55
绿地世纪城,19673,高新-锦业路 高新区锦业路1号,108.866828,34.190285,高新二期,二手房,2008,55
天地源丹轩坊,43303,高新-高新一中 高新路与科技三路交汇处,108.889012,34.213781,高新一期,二手房,2017,54
天地源·云水天境,20853,高新-软件新城 云水二路与天谷六路交汇处西北角 高新国际会议..,108.824246,34.212319,软件新城,二手房,2024,54
中建群贤汇,13875,高新-科技路西口 团结南路中段3号,108.876812,34.238203,高新一期,二手房,2012,51
中国铁建瑞园,12075,高新-科技路西口 高新六路北段6号,108.871246,34.235378,高新一期,二手房,2014,51
伟业公馆,17194,高新-科技路西口 科技路与高新六路丁字路口东北角(科技路299..,108.871312,34.232742,高新一期,二手房,2016,50
天朗蓝湖树,14102,高新-科技路西口 丈八北路380号天朗森柏大酒店旁,108.863585,34.229333,高新一期,二手房,2014,49
中大国际九号,89622,高新-高新一中 西安市高新区科技三路九号,108.890255,34.216386,高新二期,二手房,2017,48
旭景碧泽园,10105,高新-大寨路 丈八北路575号,108.868211,34.240079,高新一期,二手房,2005,47
金辉悦府,13618,高新-大寨路 昆明路甲330号,108.860131,34.245077,高新一期,二手房,2016,46
绿城海棠三章,25063,高新-软件新城 科技四路与化龙一路交汇处,108.863286,34.210746,软件新城,二手房,,45
金地西沣公元,15649,高新-西万路口 西沣路与西部大道交汇东北(高新管委会向南50..,108.885778,34.167511,高新二期,二手房,2015,45
中海·学仕里,28278,高新-CID中央创新区 西太路以西,108.838799,34.149650,高新二期,二手房,2025,45
金泰新理城,22510,高新-科技六路 丈八四路与西户公路交汇处西北角,108.859956,34.202052,高新二期,二手房,2015,44
中铁缤纷南郡,17075,高新-锦业路 丈八四路6号(科技八路与丈八四路交汇处西南角..,108.859973,34.197122,高新二期,二手房,2013,44
天地源·丹轩梓园,57737,高新-高新一中 西安市雁塔区高新路与科技二路交汇处,108.888663,34.217612,高新一期,二手房,2012,40
云顶园,24753,高新-高新一中 高新路89号,108.891021,34.212672,高新一期,二手房,2010,40
紫薇臻品,12440,高新-科技路西口 科技路西段298号,108.873867,34.232881,高新一期,二手房,2007,40
兰亭坊,32963,高新-科技六路 高新科技六路30号,108.891126,34.203980,高新二期,二手房,2012,38
国宾中央区,19925,高新-科技六路 丈八北路南端陕西宾馆正北侧,108.866718,34.202019,高新二期,二手房,2015,36
中海华庭,13353,高新-高新四路 二环南路西段228号,108.886135,34.239181,高新一期,二手房,2006,36
枫林华府,12425,高新-大寨路 高新区科技路与团结南路十字向北500米路西,108.872497,34.241618,高新一期,二手房,2011,35
长安龙胤,62303,高新-科技六路 雁塔区木塔寺路与木塔西路交叉路口,108.892213,34.200694,高新二期,二手房,2019,31
枫叶新都市,18303,高新-科技路西口 科技路与唐延路交界处沣惠南路2号,108.877425,34.230425,高新一期,二手房,2003,30
逸翠园i都会,18210,高新-锦业路 唐延南路11号,108.879446,34.179418,高新二期,二手房,2010,30
东方米兰国际城,16277,高新-鱼化寨 鱼镐路6号,108.842774,34.226790,高新二期,二手房,2015,29
中建轨交山海境,15730,高新-软件新城 科技西路与云水四路交汇处东南角,108.824545,34.229967,软件新城,二手房,,29
天地源枫林意树,23540,高新-科技六路 高新六路与科技六路交汇处,108.872040,34.204346,高新二期,二手房,2012,29
华府新桃园,9525,高新-大寨路 大寨路1号,108.879854,34.239930,高新一期,二手房,2010,28
坤元TIME,24002,高新-科技六路 太白南路与电子三路交汇处路西,108.895419,34.200987,高新二期,二手房,2016,28
海亮新英里,14446,高新-西万路口 西沣路与雁环路交汇处西安高新国际部对面,108.879337,34.171371,高新二期,二手房,2017,27
融创星美御,25136,高新-锦业路 锦业一路与丈八四路西北角,108.860457,34.185900,高新二期,二手房,2019,27
高山流水和城,16038,高新-科技六路 西万路口西北角,108.888467,34.193675,高新二期,二手房,2014,25
招商臻观府,23136,高新-软件新城 科技西路与西三环交汇处,108.833731,34.229099,软件新城,二手房,2022,25
保利·天悦,27937,"高新-科技六路 高新区丈八北路以西,科技六路以北",108.861483,34.208406,高新二期,二手房,2019,24
龙城铭园,13041,高新-软件园 丈八北路89号,108.865156,34.217816,软件新城,二手房,2015,24
南飞鸿十年城,16595,高新-鱼化寨 科技二路西段与西三环交汇东南角,108.838335,34.217815,高新二期,二手房,2017,24
城市风景夏日景色,17218,高新-软件园 科技二路与丈八北路十字东南角,108.867413,34.216659,软件新城,二手房,2007,23
金泰观澜府,27036,高新-电子城 太白南路与丈八东路交汇处东北角,108.891843,34.193501,高新一期,二手房,2023,22
中天新希望·未来印,27731,高新-郭杜 经二十路东侧(西安高新第一中学初中新校区北侧..,108.835945,34.152497,高新三期,二手房,,22
九鼎城,18879,高新-软件园 科技四路与丈八北路十字东南角,108.867630,34.213237,软件新城,二手房,2014,21
万科翡翠天誉,21220,高新-软件园 科技二路与丈八北路交汇处,108.862909,34.218137,软件新城,二手房,2018,21
新西蓝一期,9860,高新-高新四路 科技路209号,108.884767,34.232022,高新一期,二手房,2006,21
枫叶苑南区,27167,高新-高新一中 雁塔区高新产业开发区高新二路高新一中南门东南..,108.890683,34.220147,高新二期,二手房,2000,20
建邦华庭,21421,高新-科技六路 科技六路6号,108.897710,34.204884,高新二期,二手房,2014,20
领南郡,16781,高新-科技六路 太白南路190号,108.903227,34.209439,高新二期,二手房,2014,20
紫薇华发CID中央首府云璟时光,,高新-大学城 达仁路669号,108.833910,34.130985,高新三期,二手房,,20
保利双水磨小区,14127,高新-科技六路 丈八北路与科技六路十字,108.868341,34.208353,高新二期,二手房,2020,18
复地优尚国际,11864,高新-软件园 鱼斗路158号,108.847051,34.222633,软件新城,二手房,2011,18
碧桂园·高新云墅,29777,高新-大学城 纬三十四路以北、经二十二路以西、纬三十二路以..,108.837549,34.146949,高新三期,二手房,,17
高新大都荟,12226,高新-高新四路 科技路与高新四路十字西北角,108.886299,34.231465,高新一期,二手房,2016,17
林隐天下,14812,高新-锦业路 陕西省西安市高新区信息大道1号,108.858776,34.162789,高新二期,二手房,2011,17
唐南香榭,10962,高新-科技路西口 高新区科技路76号,108.868989,34.230449,高新一期,二手房,2005,17
枫韵蓝湾,10918,高新-科技路西口 西安市科技路与丈八北路交汇处,108.868422,34.233139,高新一期,二手房,2005,16
莱安逸境,13568,高新-高新四路 唐延路北1号,108.884298,34.240290,高新一期,二手房,2011,15
牡丹庄园,10253,高新-大寨路 唐延路北段28号,108.880580,34.244569,高新一期,二手房,2010,15
中国铁建·西派国樾,20256,高新-软件新城 软件新城天谷二路与云水二路交汇处,109.044941,34.361114,软件新城,二手房,2023,15
紫薇公园时光,43035,高新-科技六路 高新科技六路中段6号,108.888662,34.202323,高新二期,二手房,2013,15
风度天城,9901,高新-大寨路 富鱼路45号,108.862388,34.232363,高新一期,二手房,2011,14
天地源·高新宸樾,22422,高新-科技六路 科技六路与鱼化一路交叉口西北80米,108.852313,34.203587,高新二期,二手房,,14
晶鑫华庭,10993,高新-科技路西口 大寨路4号,108.871468,34.238627,高新一期,二手房,2016,14
天琴湾,15827,高新-锦业路 创汇路34号(西安市西南方位),108.843243,34.155428,高新二期,二手房,2017,14
中海·天谷时代,25436,高新-软件新城 丝路软件城 天谷二路与云水三路西北角,108.820920,34.226999,软件新城,二手房,,14
竹园阳光嘉苑,11962,高新-西万路口 西万路37号,108.877316,34.169917,高新二期,二手房,2011,14
黄金嘉园,10817,高新-大寨路 创新路南段80号,108.876280,34.244090,高新一期,二手房,2011,13
绿地国际花都,11524,高新-鱼化寨 科技路西段(富鱼路与西三环交汇处),108.833807,34.235993,高新二期,二手房,2016,13
华洲城领誉,10345,高新-鱼化寨 高新区科技路延伸段与西三环交汇处东北角,108.840497,34.244512,高新二期,二手房,2015,12
群贤庄,20428,高新-高新四路 西桃园群贤路3号群贤庄,108.884169,34.237820,高新一期,二手房,2005,12
万科金域国际住宅,18153,高新-高新一中 西安高新区科技三路,108.887392,34.214345,高新二期,二手房,2018,12
紫薇西棠,12755,高新-鱼化寨 富裕一路与富源二路交汇处西北角,108.823059,34.235958,高新二期,二手房,2018,12
碧桂园高新时代,19680,高新-西万路口 丈八东路与太白南路东南角,108.888844,34.188372,高新二期,二手房,2017,11
德通·昆仑序,,高新-大寨路 丈八北路与科技路十字德通·昆仑序,108.851623,34.237208,高新一期,二手房,2027,11
南飞鸿玖玺大观,16350,高新-大寨路 雁塔区大寨路与经十三路交汇处东南角,108.843906,34.237257,高新一期,二手房,2023,11
逸翠尚府,19182,高新-锦业路 西安市高新区丈八二路33号,108.874916,34.176503,高新二期,二手房,2013,11
左岸春天,10492,高新-科技路西口 鱼斗路18号西安外事学院北门对面,108.862335,34.228289,高新一期,二手房,2011,11
爱西华庭,10198,高新-大寨路 丈八北路709号,108.866903,34.242210,高新一期,二手房,2006,10
城市风景都市印象,20068,高新-科技路西口 科技路82号,108.867138,34.228754,高新一期,二手房,2009,10
枫叶新新家园,36642,高新-高新一中 科技二路58号,108.885921,34.218353,高新二期,二手房,2004,10
高新第五季,11379,高新-西万路口 西沣路与锦业二路十字东北角(高新国际学校对面..,108.883207,34.178247,高新二期,二手房,2015,10
高科朗山,28616,高新-科技六路 科技7路12号,108.874184,34.201214,高新二期,二手房,2016,10
鸿基新城,13094,高新-软件园 西三环以东,108.857747,34.212517,软件新城,二手房,2013,10
尚品美地城,15789,高新-锦业路 锦业路西口(锦业路与西三环十字东北角),108.842578,34.188708,高新二期,二手房,2015,10
泰祥花园,21676,高新-高新一中 高新路与科创路十字向南100米,108.896440,34.219932,高新一期,二手房,1998,10
西港雅苑,15377,高新-锦业路 锦业路40号,108.883689,34.227024,高新二期,二手房,2011,10
高科新花园,19844,高新-科技路西口 高新开发区团结南路2号,108.874462,34.228491,高新一期,二手房,2002,9
华洲城云顶,15567,高新-大寨路 石桥路325号,108.839616,34.236619,高新一期,二手房,2021,9
恒大阳光馨苑,10395,高新-大寨路 昆明路430号,108.856869,34.245565,高新一期,二手房,2012,9
九形道,11625,高新-大寨路 团结南路28号,108.874564,34.241437,高新一期,二手房,2014,9
利君明天,14054,高新-软件园 唐兴路与丈八路交汇处东南角,108.867076,34.224852,软件新城,二手房,2007,9
南飞鸿天锦,15729,高新-鱼化寨 鱼斗路241号,108.840917,34.220172,高新二期,二手房,2016,9
卓越坊,15373,高新-鱼化寨 科技西路与富源二路交汇处向北300米,108.825858,34.237313,高新二期,二手房,2020,9
高科花园,20999,高新-高新四路 西安高新技术产业开发区科技路,108.887929,34.226365,高新一期,二手房,1998,8
鸿锦城罗曼尼,17326,高新-鱼化寨 富鱼路与西三环路交叉口东南角,108.839163,34.223503,高新二期,二手房,2019,8
南飞鸿蓝庭序,16477,高新-鱼化寨 西三环以东,108.840231,34.215497,高新二期,二手房,2023,8
天地源·永安华府,23355,高新-郭杜 中央创新区经二十六路和纬三十路交汇东南角,108.821553,34.142738,高新三期,二手房,2025,8
万家灯火,12389,高新-锦业路 陕西省西安市雁塔区丈八六路辅路,108.849398,34.197416,高新二期,二手房,2012,8
永和璞玉,17898,高新-软件园 丈八北路与科技四路十字向南50米路东,108.867678,34.211938,软件新城,二手房,2016,8
招商云兰,22929,高新-CID中央创新区 丝路创新区经二十六路西侧,108.811070,34.128838,高新二期,二手房,,8
大华阳光曼哈顿,16515,高新-科技六路 太白南路118号,108.900531,34.206681,高新二期,二手房,2007,7
枫叶苑北区,32631,高新-高新一中 枫叶北路1号,108.893365,34.225105,高新二期,二手房,2000,7
卡布奇诺公馆,11206,高新-大寨路 民洁路1号,108.869761,34.241633,高新一期,二手房,2012,7
科技路金茂府,22344,"高新-鱼化寨 雁塔区未来产业城科技西路以北,西余铁路以南,..",108.807953,34.232090,高新二期,二手房,2026,7
昆明时光3区,,高新-沣东新城 昆明路,108.825688,34.247587,其他,二手房,2014,7
荣兴云天,12179,高新-锦业路 西安市高新技术产业开发区创汇路1号,108.858529,34.157706,高新二期,二手房,2010,7
上上城,14787,高新-徐家庄 科技路与太白南路十字(向南200米路西),108.908109,34.217713,高新二期,二手房,2013,7
天正幸福里,10523,高新-西万路口 太白南路39号,108.887675,34.187289,高新二期,二手房,2010,7
腾业南院,13622,高新-锦业路 高新区锦业二路84号,108.853445,34.175715,高新二期,二手房,2012,7
唐延九珺,23974,高新-科技六路 高新丈八东路与高新路朝南延伸段交汇处,108.886302,34.193758,高新一期,二手房,2018,7
旺座现代城,13135,高新-唐延路 唐延路35号,108.884851,34.209708,高新二期,二手房,2009,7
新城首府,18819,高新-西沣路 西沣路与西部大道交汇处向东500米,108.879136,34.164080,高新二期,二手房,2023,7
银领花园,10133,高新-软件园 鱼斗路116号,108.845859,34.225057,软件新城,二手房,2007,7
保利天汇,23069,高新-软件新城 丝路软件新城 天谷五路与云水六路交汇处,108.814580,34.212608,软件新城,二手房,2025,6
八号府邸,29903,高新-科技六路 丈八东路与科技七路交叉口东北50米,108.870089,34.202431,高新二期,二手房,2012,6
高新水晶城,16965,高新-高新一中 高新路69号,108.892669,34.218412,高新一期,二手房,2013,6
海棠别馆,13562,高新-锦业路 锦业二路86号,108.851571,34.175695,高新二期,二手房,2011,6
皇家花园,19763,高新-高新一中 高新高新路50号,108.897890,34.222445,高新一期,二手房,2010,6
罗马西西里,12574,高新-锦业路 丈八六路与西户公路交叉口西侧,108.847725,34.197574,高新二期,二手房,2015,6
米罗蓝山,12375,高新-科技路西口 高新六路2号,108.870130,34.230475,高新一期,二手房,2007,6
美寓华庭,10537,高新-锦业路 科技八路104号,108.845688,34.197049,高新二期,二手房,2013,6
恬静园,9035,高新-科技路西口 唐延路北段112号,108.881023,34.237240,高新一期,二手房,2010,6
西安锦都,13376,高新-高新四路 群贤路6号,108.885208,34.235555,高新一期,二手房,2004,6
新西蓝二期,10880,高新-高新四路 西安市雁塔区高新四路8号,108.889185,34.231335,高新一期,二手房,2007,6
越秀铁建·樽樾,26969,高新-郭杜 祝仁路与星桥路交汇处西北角,108.831857,34.152293,高新三期,二手房,,6
自在山,28073,高新-高新四路 高新区唐兴路5号,108.887156,34.227601,高新一期,二手房,2014,6
枫叶别墅苑,27868,高新-高新一中 高新二路与科技一路交汇处,108.891974,34.222768,高新二期,二手房,1996,6
绿地诺丁山别墅,36496,高新-锦业路 高新区锦业路与丈八二路十字北50米,108.872168,34.191243,高新二期,二手房,2011,6
枫叶新家园,25196,高新-高新一中 高新区高新二路和科技二路交接处,108.887002,34.220443,高新二期,二手房,2003,5
枫叶高层,19477,高新-徐家庄 高新路45号,108.899310,34.226446,高新一期,二手房,2001,5
丰硕佳园,10854,高新-西万路口 子午大道2036号,108.896738,34.186394,高新二期,二手房,2016,5
高科·枫林九里|檀阅里,14660,高新-科技路西口 科技路,108.837129,34.224571,高新一期,二手房,2026,5
花园印象,27703,高新-高新一中 西安市高新区高新一路7号,108.894954,34.223654,高新二期,二手房,2004,5
晶城秀府,14207,高新-西万路口 丈八东路288号,108.891575,34.190761,高新二期,二手房,2015,5
中铁立丰国际广场,14020,高新-西万路口 丈八东路与子午大道十字西南角,108.991095,34.241388,高新二期,二手房,2020,5
融创天朗珑府,18925,高新-西万路口 西部大道5509号,108.878574,34.167201,高新二期,二手房,2015,5
一品美道,23162,高新-高新一中 高新路60-乙号,108.895003,34.222975,高新一期,二手房,2015,5
中国铁建·西派樘樾,23453,高新-软件新城 丝路软件城 天谷二路与云水二路交汇处,108.994652,34.202811,软件新城,二手房,2025,5
中天花园,15247,高新-徐家庄 科技二路与高新路十字向东200米,108.899511,34.215975,高新一期,二手房,2005,5
中国铁建西派玺悦,22602,"高新-锦业路 星虹二路以西、隆盛路以东、兴昌一路以北,兴昌..",108.811505,34.125606,高新二期,二手房,,5
林隐天下别墅,20073,高新-锦业路 信息大道1号(博士路与西部大道十字向南200..,108.858776,34.162789,高新二期,二手房,2011,5
都市春天,15514,高新-科技路西口 唐兴路19号,108.867972,34.227341,高新一期,二手房,2014,4
高科尚都,16426,高新-锦业路 锦业路与丈八五路交汇处向北100米,108.859322,34.191018,高新二期,二手房,2014,4
高科花园二期,20839,高新-高新一中 唐兴路与高新四路十字西南角,108.887929,34.226365,高新一期,二手房,2000,4
君合天玺,11762,高新-鱼化寨 昆明路与富源二路十字交汇西南角,108.823938,34.243223,高新二期,二手房,,4
绿城春风心语-春风苑,16720,高新-软件园 科技四路与鱼化一路交汇处西北侧,108.858935,34.215292,软件新城,二手房,,4
绿港花园,13238,高新-软件园 高新6路43号,108.871278,34.212362,软件新城,二手房,2004,4
林凯花园,18873,高新-唐延路 高新一路南段128号,108.884980,34.211469,高新二期,二手房,2007,4
罗马景福城,16234,高新-锦业路 高新三中以东(丈八东路与丈八四路交汇处西北角..,108.861702,34.194002,高新二期,二手房,2016,4
美立方,9934,高新-科技路西口 西安市雁塔区丈八北路491号,108.867845,34.235772,高新一期,二手房,2010,4
曲江文商·檀境,20704,高新-大学城 未来之瞳北30米,108.822849,34.139245,高新三期,二手房,2024,4
尚品格蓝,21032,高新-高新一中 高新五路16号,108.885282,34.220742,高新二期,二手房,2005,4
唐延鑫苑,11228,高新-高新四路 唐延路北段63号,108.883981,34.234069,高新一期,二手房,2011,4
紫薇田园都市F区,30139,高新-锦业路 高新区唐延路南段紫薇田园都市,108.866249,34.168295,高新二期,二手房,2002,4
长征365,16875,高新-锦业路 长安科技园1号,108.870919,34.166698,高新二期,二手房,2007,3
高新·天谷雅舍,25735,高新-软件新城 天谷四路以北、云水三路以东、云水二路以西,108.824615,34.219185,软件新城,二手房,,3
高科·紫薇嘉境(北区),17406,高新-CID中央创新区 纬三十四路以南,108.816127,34.136179,高新二期,二手房,,3
华洲城天峰,16470,高新-鱼化寨 大寨路3560号,108.841847,34.238189,高新一期,二手房,2017,3
龙湖青云阙,18104,高新-大学城 经二十二路与纬三十六路交汇处(未来之瞳旁),108.814189,34.128742,高新三期,二手房,2025,3
龙记观澜国际,17552,高新-软件园 科技二路76号,108.868506,34.218613,软件新城,二手房,2015,3
满堂悦MOMA,15133,高新-锦业路 锦业路88号,108.837980,34.186394,高新二期,二手房,2013,3
欧锦园,20256,高新-高新一中 科技路34号,108.894912,34.225592,高新二期,二手房,2007,3
泉上花间,13205,高新-锦业路 西沣路128号阿姆瑞特家居中心南侧,108.858718,34.158611,高新二期,二手房,2014,3
双威温馨花园,11975,高新-徐家庄 博文路11号,108.898236,34.217187,高新二期,二手房,2004,3
逸翠园别墅,33575,高新-锦业路 唐延南路与绕成高速公路交汇处,108.872869,34.176246,高新二期,二手房,2007,3
铂悦,15149,高新-科技路西口 科技路76号,108.867876,34.230220,高新一期,二手房,2016,2
保利爱尚里,19321,高新-科技六路 科技六路与丈八北路十字东南角,108.868580,34.204835,高新二期,二手房,2018,2
东尚蜂鸟,13533,高新-锦业路 绕城高速以南(锦业二路与丈八六路十字西南角),108.848167,34.175388,高新二期,二手房,2014,2
都市印象SOLO街区,,"高新-科技路西口 科技路,近丈八北路",108.867138,34.228754,高新一期,二手房,,2
枫叶广场,,高新-高新一中 高新路63号,108.895375,34.219664,高新一期,二手房,1995,2
高新金茂悦园,27110,高新-软件园 鱼化寨街与化龙一路十字东南角(皂河景观带旁),108.850668,34.226002,软件新城,二手房,,2
高新云锦,18178,高新-锦业路 锦业路与丈八六路十字西北角,108.848414,34.188641,高新二期,二手房,2024,2
高科尚郡,19834,高新-科技六路 高新六路与科技六路交汇处,108.871774,34.207542,高新二期,二手房,2016,2
高科尚都摩卡,9287,高新-锦业路 西安市雁塔区丈八西路与丈八五路交汇处向东50..,108.859584,34.190287,高新二期,二手房,2014,2
捷瑞新时代,11487,高新-软件园 丈八北路256号,108.865468,34.224689,软件新城,二手房,2012,2
嘉禾广运,13988,高新-锦业路 丈八五路与瞪羚路十字东南角(高新第五小学东临..,108.859416,34.195177,高新二期,二手房,2015,2
昆明时光2区,,"高新-鱼化寨 昆明路,近富源二路",108.829551,34.245266,高新二期,二手房,2014,2
龙天名俊,15331,高新-锦业路 丈八六路8号,108.849536,34.193311,高新二期,二手房,2012,2
