名称,均价(元/㎡),地址,经度,纬度,片区,类型,建成年份,在售套数
绿地海珀香庭,29428,高新-锦业路 丈八二路与锦业路交口向北190米路东,108.874664,34.190266,高新二期,二手房,2010,2
南飞鸿乐境雅荟,15156,高新-软件新城 经十四路以西、西三环以东、天谷四路以南、规划..,108.841045,34.217112,高新三期,二手房,,2
庆安颐秀园,17447,高新-高新一中 高新二路26号,108.888323,34.221383,高新二期,二手房,2004,2
群贤花园,16519,高新-徐家庄 博文路33号,108.898566,34.218083,高新二期,二手房,2008,2
万达西安one,13323,高新-科技六路 唐延路49号万达广场B1,108.885113,34.202307,高新二期,二手房,2018,2
西化南区,8033,高新-大寨路 昆明路5号,108.867446,34.243939,高新一期,二手房,1990,2
易和蓝钻,10048,高新-徐家庄 二环南路西段154号,108.904728,34.231588,高新二期,二手房,2012,2
丈八沟碧水源,13119,高新-科技六路 科技7路7号,108.871878,34.202428,高新二期,二手房,2014,2
中圣绿苑,11502,高新-锦业路 创汇路20号,108.852842,34.157632,高新二期,二手房,2001,2
万达长安龙胤,80694,高新-科技六路 木塔寺路与木塔寺西路交叉口路口处,108.891628,34.200668,高新二期,二手房,2020,2
保利·天瓒,,高新-软件新城 科技六路与化龙二路交汇处,108.845546,34.204503,软件新城,二手房,,1
高新逸品,12391,高新-锦业路 丈八六路6号,108.849536,34.196188,高新二期,二手房,2013,1
鸿景花园,21256,高新-高新一中 西安市雁塔区高新五路与科技一路十字东南角,108.886702,34.221776,高新二期,二手房,2000,1
含光佳苑,15388,高新-高新一中 高新路67号,108.894575,34.218981,高新一期,二手房,2005,1
海佳云顶,9904,高新-高新四路 高新三路2号,108.894765,34.235575,高新一期,二手房,2004,1
华怡园,26787,高新-高新一中 西安市雁塔区高新四路20号,108.887860,34.224659,高新一期,二手房,1998,1
华立苑,23331,高新-高新一中 科技一路4号,108.893096,34.220043,高新二期,二手房,2008,1
交警支队社区,9649,高新-徐家庄 太白南路8号,108.933260,34.147566,高新二期,二手房,2004,1
金泰和樾,21329,高新-软件新城 科技七路与化龙二路十字东南,108.847843,34.200434,软件新城,二手房,2026,1
隆基泰和云玺领峯,25609,高新-软件新城 软件新城天谷三路与云水三路交叉口西北角,108.820733,34.223626,软件新城,二手房,,1
领航·云熙,15584,高新-科技路西口 雁塔区科技路与高新六路交汇处向北200米,108.871046,34.236793,高新一期,二手房,,1
糜家桥小区,8427,高新-徐家庄 高新路25号,108.901860,34.228663,高新一期,二手房,1996,1
南飞鸿·鸿锦城,17961,"高新-鱼化寨 福谦路南侧,化龙三路西侧,科技二路北侧",108.838335,34.217815,高新二期,二手房,2016,1
秦锦苑,21049,高新-高新一中 科技路付26号,108.900138,34.222735,高新二期,二手房,2000,1
融鑫园小区,9251,高新-徐家庄 融鑫路8号,108.905178,34.218179,高新二期,二手房,1999,1
热电小区,8574,高新-大寨路 民洁路3号,108.869574,34.244509,高新一期,二手房,1998,1
水晶国际,28369,高新-高新一中 科技2路39号,108.895563,34.216831,高新二期,二手房,2006,1
时代风尚,13469,高新-大寨路 昆明路与团结南路交汇处东南角,108.876627,34.244695,高新一期,二手房,2012,1
天竹元谷,15472,高新-大寨路 西二环与昆明路十字向西500米(昆明路与团结..,108.875820,34.245279,高新一期,二手房,2015,1
天地源龙湖春江天境,19534,高新-西万路口 西安国际社区(梁家滩国际学校北侧),108.753558,34.133678,高新二期,二手房,2022,1
文华阁,17732,高新-高新一中 高新四路和科技一路口(高科花园二期南门对面),108.886587,34.224024,高新一期,二手房,2002,1
欣景苑,11416,高新-徐家庄 博文路15号,108.897938,34.216177,高新二期,二手房,2003,1
心桥佳苑,16780,高新-唐延路 唐延路与科技四路十字东南侧,108.885377,34.213634,高新二期,二手房,2011,1
远洋落子栖,15192,高新-大寨路 昆明路与丈八北路十字东南角向东300m,108.868822,34.245443,高新一期,二手房,2020,1
紫薇生态城,21212,高新-西万路口 西安国际社区,108.754176,34.135415,高新二期,二手房,,1
长安园公寓小区,11052,高新-锦业路 硕士路2号,108.852787,34.169028,高新二期,二手房,2005,1
中海·云水观园,,高新-软件新城 高新区丝路软件城科技六路以南、化龙二路以西,108.821299,34.221004,软件新城,二手房,2025,1
20所社区,17922,高新-徐家庄 科技路俪人医院对面,108.901317,34.225969,高新二期,二手房,2010,0
3507家属院,8327,高新-大寨路 昆明路十字向西300米,109.090109,34.318632,高新一期,二手房,1990,0
A9公馆,21784,高新-科技六路 科技四路2号,108.889487,34.211055,高新二期,二手房,2009,0
博文园,11956,高新-徐家庄 博文路53号,108.900788,34.222403,高新二期,二手房,2004,0
城市皇冠,9956,高新-高新四路 高新4路12号,108.889676,34.232271,高新一期,二手房,2009,0
船舶设备公司家属院,9304,高新-公交五公司 太白南路318号云城大酒店院内,108.911909,34.222485,高新一期,二手房,1997,0
长安居,27638,高新-唐延路 高新一路南段126号,108.885465,34.212313,高新二期,二手房,2009,0
创业商务公寓,11908,高新-高新四路 高新区西安科技路48号,108.884490,34.206806,高新一期,二手房,2009,0
长安农驾校家属院,11288,高新-西万路口 子午大道与韦郭大道十字东北,108.914542,34.222118,高新二期,二手房,2009,0
创汇社区(D区),,高新-锦业路 定昆池二路,108.823771,34.171130,高新二期,二手房,,0
CCmall,,高新-软件园 丈八北路138号,87.602090,43.798066,软件新城,二手房,2017,0
电信高层,15136,高新-高新一中 高新区科技路与高新路十字西南角,108.883689,34.227024,高新一期,二手房,2009,0
地税局家属院,7547,高新-高新四路 西安市雁塔区科技路19号,108.921882,34.246343,高新一期,二手房,2009,0
导航家园,13206,高新-徐家庄 光华路1号,108.904591,34.227058,高新二期,二手房,1993,0
大寨路新华小区,6998,高新-科技路西口 丈八北路6号,108.866598,34.238026,高新一期,二手房,2000,0
大寨子村小区,,高新-大寨路 大寨路,108.857660,34.236378,高新一期,二手房,,0
东滩社区北区,,高新-锦业路 丈八西路,108.842737,34.194634,高新二期,二手房,1994,0
电子科技集团第二十研究所家属院,,"高新-徐家庄 二环南路,近白沙路",108.824615,34.111604,高新二期,二手房,2001,0
导航所小区北区,,高新-徐家庄 高新路,108.903389,34.229417,高新一期,二手房,,0
二十所社区,12068,高新-徐家庄 光华路1号,108.901317,34.225969,高新二期,二手房,1998,0
枫景观天下,29021,高新-高新一中 高新4路30号,108.887549,34.222665,高新二期,二手房,2008,0
枫叶大厦,17753,高新-高新一中 高新路63号,108.896018,34.221158,高新一期,二手房,2003,0
沣惠南路130号,7600,高新-科技路西口 西安市高新区科技路与沣惠南路交汇处向北500..,108.884033,34.244528,高新一期,二手房,2002,0
付三号院,,高新-徐家庄 高新路,108.905056,34.230851,高新一期,二手房,1998,0
高新尊贵壹方,13040,高新-软件园 科技路与丈八北路交汇向南300米,108.865383,34.226905,软件新城,二手房,,0
高新·云熙港,23091,高新-大学城 三期规划六路与规划十六路交汇处,108.824741,34.140604,高新三期,二手房,,0
高新尚品,21000,高新-科技六路 经五路与科技七路十字东南角,108.864434,34.201016,高新二期,二手房,2023,0
高科·云天,30291,高新-软件新城 天谷三路与云水三路十字交汇处东北角,108.824235,34.224253,软件新城,二手房,2025,0
高新水晶岛,9887,高新-科技六路 沣惠南路38号,108.880720,34.202116,高新一期,二手房,2004,0
高新未未来,10617,高新-锦业路 硕士路33号,108.854179,34.154634,高新二期,二手房,2015,0
高新尊寓,22798,高新-高新四路 南二环与群贤路交汇处向南300米,108.885692,34.236862,高新一期,二手房,2018,0
高新智尚,15272,高新-科技路西口 科技路与丈八北路十字向南350米,108.864696,34.225712,高新一期,二手房,2023,0
高新有色金属家属院,16394,高新-高新一中 高新路南段20米,108.895575,34.217528,高新一期,二手房,1999,0
高新邮政家属院,19830,高新-高新一中 科技路世纪金花对面,108.916385,34.205399,高新二期,二手房,2009,0
光电园,12292,高新-软件园 科技二路77号,108.868523,34.220732,软件新城,二手房,2010,0
高新科技花园,27200,高新-科技六路 沣惠南路与科技七路的交汇处水晶岛酒店西侧,108.879607,34.202230,高新一期,二手房,2013,0
高新花园,11630,高新-锦业路 丈八西路101号,108.835652,34.193979,高新二期,二手房,2004,0
保利云谷天汇,,"高新- 高新区丝路软件城富鱼路以南,天谷二路以北,云..",108.816823,34.227144,软件新城,二手房,2026,0
龙湖 高新云河颂,,高新- 高新区中央创新区纬二十八路以南、经二十路以西..,108.827743,34.143301,高新三期,二手房,2025,0
高新玖号院,,"高新- 高新区鱼化街道经十三路以东、科技六路以北,绍..",108.820725,34.179625,高新二期,二手房,,0
高科广场小区,,高新-高新四路 高新四路1号,108.893942,34.236147,高新一期,二手房,2002,0
环亚花园,25435,高新-高新一中 科技一路附10号,108.893153,34.219761,高新二期,二手房,2006,0
汇鑫温泉都市庭院,15974,高新-高新四路 高新南二环高新四路3号,108.883689,34.227024,高新一期,二手房,2009,0
汇翔苑,13394,高新-高新一中 科技一路副2号,108.896446,34.217705,高新二期,二手房,2000,0
汇鑫花园,11730,高新-高新四路 二环南路西段202号,108.890166,34.237269,高新一期,二手房,2011,0
含光路中段甲字29号,21041,高新-高新一中 含光路中段甲字29号,108.923993,34.227604,高新二期,二手房,2009,0
海关家属院,27020,高新-高新一中 崇业路25号,108.927821,34.221790,高新二期,二手房,2005,0
瀚源国际,15765,高新-徐家庄 高新科创路与太白南路十字西北角,108.908995,34.217039,高新二期,二手房,2015,0
黄冠小区,,高新-高新四路 (碑林) 和平路黄冠小区,108.889676,34.232271,高新一期,二手房,,0
红叶大厦小区,,高新-高新四路 高新四路和科技路十字,108.888822,34.228638,高新一期,二手房,1998,0
汇鑫温泉高级小区,,高新-高新四路 二环南路西段6号,108.890267,34.238118,高新一期,二手房,2015,0
华奥大厦小区,,高新-徐家庄 高新科技路10号,108.883689,34.227024,高新二期,二手房,2004,0
海星广场小区,,高新-高新四路 科技路与高新二路交汇处,108.883689,34.227024,高新一期,二手房,2001,0
锦悦府,16290,高新-锦业路 锦业二路与丈八六路十字东南角,108.850063,34.175996,高新二期,二手房,,0
捷瑞小区,10593,高新-高新四路 二环南路西段208号,108.889481,34.237930,高新一期,二手房,2010,0
九座花园,8062,高新-高新四路 二环南路西段202号,108.890707,34.238102,高新一期,二手房,2006,0
嘉天国际,11680,高新-徐家庄 太白南路216号,108.907531,34.216051,高新二期,二手房,2007,0
锦业76,14426,高新-锦业路 锦业路76号(绿地世纪城斜对面),108.851261,34.187030,高新二期,二手房,2011,0
金泰怡景花园,9863,高新-鱼化寨 西高新科技路西延长线(规划中西安地铁三号线西..,108.840700,34.234306,高新三期,二手房,2014,0
锦都荟,16055,高新-锦业路 锦业路与丈八六路十字西北角处,108.845989,34.188653,高新二期,二手房,2015,0
杰座公寓,23042,高新-科技路西口 科技路枫叶新都市北门,108.879682,34.230698,高新一期,二手房,2003,0
蒋家寨小区,9346,高新-高新一中 博文路51号,108.898504,34.221627,高新二期,二手房,2009,0
焦化佳苑,11358,高新-大寨路 丈八北路北段(花市对面),108.866433,34.243457,高新一期,二手房,1999,0
锦江小区,14385,高新-徐家庄 南二环和高新路十字东,108.883689,34.227024,高新一期,二手房,2009,0
交警支队家属院,14297,高新-徐家庄 科技路56号,108.871040,34.173306,高新二期,二手房,2005,0
锦业居,12824,高新-锦业路 艺术大街西段56号,108.858512,34.169393,高新二期,二手房,2009,0
九树公寓,41550,高新-高新一中 科技二路61号,120.102412,30.176888,高新二期,二手房,2019,0
焦化嘉苑,8665,高新-大寨路 (雁塔) 丈八北路831号,108.866433,34.243457,高新一期,二手房,1999,0
净化小区,,高新-高新四路 怀德北巷288号,108.888560,34.236781,高新一期,二手房,2015,0
科技路家属楼,21299,高新-徐家庄 科技路与白沙路交汇处,108.936324,34.243422,高新二期,二手房,2005,0
科创路天然气家属院,32621,高新-高新一中 科创路030号,108.897554,34.220149,高新二期,二手房,2009,0
科技路副三号院,12860,高新-徐家庄 二环南路西段150号市政小区隔壁,108.904754,34.230872,高新二期,二手房,,0
昆明路造纸厂家属院,5890,高新-大寨路 西安市昆明路与团结南路交汇处向南200米路西,108.874837,34.244738,高新一期,二手房,1998,0
蓝城环球中心,43317,高新-高新四路 高新科技路与高新四路十字东北角(香格里拉酒店..,108.892361,34.228791,高新一期,二手房,,0
丽湾蓝岛,9798,高新-徐家庄 科创路3号,108.907255,34.217205,高新二期,二手房,2004,0
廊桥逸景,19744,高新-科技六路 城西西户路口北靠312国道南邻西户路,108.883689,34.227024,高新二期,二手房,2009,0
绿地诺丁山,40047,高新-锦业路 锦业路1号诺丁山,108.872168,34.191243,高新二期,二手房,2012,0
莱安星座,12991,高新-科技路西口 大寨路6号(大寨路与唐延路什字向西300米),108.945736,34.194026,高新一期,二手房,2015,0
燎原小学家属院,7911,高新-徐家庄 (雁塔) 科技路燎原小学家属院,108.899358,34.225166,高新二期,二手房,1995,0
龙湖·青云阙 昱府,,高新- 高新区兴隆街道规划二路以西、经三十四路以东、..,108.807742,34.128343,高新三期,二手房,2025,0
领先时代广场小区,,高新-唐延路 高新路86号,108.886496,34.209176,高新一期,二手房,2000,0
绿城秋月苑,,高新-软件新城 科技四路与丈八北路交汇处,108.864760,34.211902,软件新城,二手房,2026,0
绿地都市之门,,高新-高新路,108.881581,34.190146,高新一期,二手房,,0
里花水社区,,高新-锦业路 丈八六路,108.843394,34.190639,高新二期,二手房,2001,0
亮丽住宅楼,,"高新-唐延路 唐延路以东,科技四路以南",108.979075,34.185037,高新二期,二手房,,0
玫瑰大楼,16369,高新-高新四路 科技路25号,108.890072,34.228281,高新一期,二手房,2000,0
摩登BOBO,12727,高新-徐家庄 白沙路3号,108.903144,34.218882,高新二期,二手房,2005,0
名园新居,17645,高新-徐家庄 科技路10号,108.906838,34.219472,高新二期,二手房,2005,0
锦尚名城,19685,高新-锦业路 锦业路与西三环交汇处的西南角(西三环西侧),108.837980,34.186394,高新二期,二手房,2015,0
名城天下,15909,高新-高新一中 高新路73号,108.894642,34.215954,高新一期,二手房,2016,0
民洁小区,10110,高新-大寨路 民洁路2号,108.868718,34.242114,高新一期,二手房,2000,0
迷你国度,9968,高新-徐家庄 高新区科创路1号,108.908329,34.216505,高新二期,二手房,2006,0
木塔寨家属院,14279,高新-科技六路 科技七路2号,108.880896,34.201469,高新二期,二手房,2006,0
漫谷美域,,高新-鱼化寨 沣惠渠东侧,109.024596,34.310777,高新二期,二手房,2012,0
木塔寨北村安置小区,,"高新-科技六路 木塔一路,近科技六路",108.893386,34.204960,高新二期,二手房,,0
民航小区西区(唐延路),,高新-高新四路 唐延路3号,108.884735,34.227940,高新一期,二手房,,0
南飞鸿康缔大厦,10659,高新-软件新城 雁塔区科技二路与西三环路交汇处,108.837284,34.223400,软件新城,二手房,2022,0
楠竹庭苑,,高新-电子城 东兴巷,108.916609,34.188471,高新一期,二手房,2008,0
南窑头社区东区,,高新-唐延路 团结南路,108.877401,34.212278,高新一期,二手房,2010,0
培华小区,8718,高新-徐家庄 白沙路5号,108.883689,34.227024,高新二期,二手房,2002,0
旗远锦樾,13368,高新-锦业路 锦业路36号,108.868255,34.186529,高新二期,二手房,2013,0
七克拉晶座,11805,高新-锦业路 高新区锦业路与丈八三路交汇东北角,108.871396,34.188429,高新二期,二手房,2010,0
秦农银行住宅区,8330,高新-科技路西口 丈八沟街道丈八北路489号秦农银行家属院,108.866621,34.233033,高新一期,二手房,2001,0
庆安昆明路小区50号院,7140,高新-大寨路 昆明路50号,108.878523,34.245552,高新一期,二手房,1995,0
启迪中心 | 创公馆住宅,,高新-唐延路 科技二路67号启迪科技园,108.876616,34.220387,高新二期,二手房,,0
荣民捌号,21182,高新-软件园 科技一路与丈八北路交汇处东南角,108.867269,34.221362,软件新城,二手房,,0
融鑫科技公寓,29166,高新-徐家庄 高新高新融鑫路8号,108.905178,34.218179,高新二期,二手房,2009,0
融创珺庭府,21988,高新-锦业路 锦业三路与比亚迪路十字东南方向,108.841094,34.172167,高新二期,二手房,2023,0
日化小区,8411,高新-科技路西口 丈八北路4号,108.867475,34.237932,高新一期,二手房,2000,0
热力小区,8177,高新-大寨路 民洁路3号,108.869527,34.243391,高新一期,二手房,2014,0
融鑫路电信小区,9547,高新-徐家庄 融鑫路3号,108.907355,34.218056,高新二期,二手房,2009,0
人民银行西安分行家属院,20456,高新-高新一中 高新路49号,108.898336,34.223349,高新一期,二手房,2007,0
荣民玖号,,高新-高新四路 高新二路与光泰路交汇处西北角,108.896061,34.233852,高新一期,二手房,,0
乳驾庄社区,,高新-锦业路 西部大道,108.823709,34.167925,高新二期,二手房,1998,0
盛世华庭,10786,高新-徐家庄 高新博文路9号,108.897074,34.216303,高新二期,二手房,2003,0
萨菲尔名邸,7308,高新-徐家庄 高新科技路20号,108.902318,34.222741,高新二期,二手房,2007,0
世纪颐园,10543,高新-高新四路 科技路195号,108.888068,34.230204,高新一期,二手房,2005,0
四季风景,21560,高新-高新一中 高新高新区科技二路28号,108.887223,34.218917,高新二期,二手房,2004,0
世家第五季,43322,高新-西万路口 东仪路人人乐南100米路,108.883689,34.227024,高新二期,二手房,2009,0
尚中心,13157,高新-高新一中 高新路51号,108.896513,34.222135,高新一期,二手房,2014,0
山西证券大厦,6598,高新-高新四路 高新二路2号,108.897266,34.234261,高新一期,二手房,2009,0
三五一一社区,8749,高新-大寨路 昆明路2号,108.873501,34.244763,高新一期,二手房,2000,0
世纪公寓,7422,高新-徐家庄 高新路25号,108.902610,34.230682,高新一期,二手房,1999,0
水电十五局家属院,10655,高新-徐家庄 科技路16号中国水电大厦,108.903679,34.221702,高新二期,二手房,2010,0
市建总公司家属院,23648,高新-高新一中 科技一路高新一幼对面,108.923135,34.286828,高新二期,二手房,2008,0
数字生活365,8912,高新-科技六路 高新水晶岛以北(科技六路与沣惠南路交汇处以西..,108.879807,34.209813,高新一期,二手房,2011,0
陕西省总工会家属院,16322,高新-高新一中 科技一路4号,108.895989,34.218333,高新二期,二手房,2009,0
陕西高速集团西宝分公司住宅区,19275,高新-高新一中 高新路63号,108.895297,34.218668,高新一期,二手房,2001,0
尚怡园,23572,高新-高新四路 西沣路与韦郭路十字西南角,108.854634,34.153395,高新一期,二手房,2012,0
沙井宜居,10201,高新-科技六路 太白南路168号,108.901804,34.208222,高新二期,二手房,2008,0
陕西宾馆红房家属院,12143,高新-科技六路 (雁塔) 丈八东路陕西宾馆红房家属院,108.875670,34.193473,高新二期,二手房,1983,0
市政小区(雁塔),10457,"高新-徐家庄 (雁塔) 环南路西段150号, 二环南路西段..",108.905548,34.231345,高新二期,二手房,1996,0
双旗寨小区,,高新-软件新城 天谷三路2057号,108.813794,34.224261,软件新城,二手房,2022,0
市级机关永松路三号院,,高新-高新路,108.919230,34.222129,高新一期,二手房,,0
陕西地建公寓楼,,高新-高新四路 光泰路,108.895916,34.233328,高新一期,二手房,2004,0
天地源棠樾坊,19048,高新-CID中央创新区 中央创新区双江二路与兴隆三路十字东北角,108.813288,34.123965,高新二期,二手房,2024,0
太白花园,10369,高新-徐家庄 科技路10号,108.905576,34.220733,高新二期,二手房,2000,0
天地源杰座名园,17929,高新-科技路西口 高新科技路与团结南路交汇处,108.880807,34.230572,高新一期,二手房,2010,0
天幕阔景,15741,高新-高新四路 科技路33号,108.896679,34.226820,高新一期,二手房,2003,0
唐延公馆,14885,高新-高新一中 科技一路58号,108.884451,34.222781,高新二期,二手房,2013,0
天然气公司家属院,9110,高新-大寨路 高新区大寨路与昆明池路交汇处向北500米路东,108.890880,34.235872,高新一期,二手房,2005,0
天然气家属院,8562,高新-高新四路 南二环秦华天然气公司旁,108.919219,34.226937,高新一期,二手房,1998,0
田园公寓,9376,高新-锦业路 高新区新型工业园艺术大街东段东侧,108.872323,34.167768,高新二期,二手房,2006,0
团省委家属院,10241,高新-公交五公司 含光路北段邮电北巷张家村街道办隔壁,108.928432,34.242333,高新一期,二手房,2005,0
桃园湖高级住宅区,23490,高新-高新四路 高新四路甲字1号,108.891643,34.236613,高新一期,二手房,1999,0
天然气小区(雁塔),20746,高新-高新一中 (雁塔) 科创路30号,108.897554,34.220149,高新二期,二手房,1997,0
特警支队家属院,6989,高新-科技路西口 (雁塔) 唐延路特警支队家属院,108.880886,34.236383,高新一期,二手房,1998,0
天地源棠颂坊,26839,"高新-大学城 中央创新区纬三十五路以北,经二十六路以西,经..",108.812562,34.134981,高新三期,二手房,,0
天地源·永安观棠,,高新- 高新区细柳街道纬二十六路以南、纬三十路以北、..,108.800149,34.147758,高新三期,二手房,2026,0
五龙·悦苑,17366,高新-西万路口 西沣路与西部大道交汇处东北角,108.875986,34.168379,高新二期,二手房,,0
梧桐朗座,10607,高新-科技路西口 科技路70号,108.871633,34.230877,高新一期,二手房,2006,0
万科高新生活广场,16401,高新-西万路口 西沣路与雁环路交汇处东北角,108.882770,34.174366,高新二期,二手房,2016,0
五洲国际,18708,高新-高新四路 高新二路与南二环交汇处,108.883689,34.227024,高新一期,二手房,2009,0
五米魔方,8434,高新-软件园 高新六路32号,108.869160,34.222957,软件新城,二手房,2008,0
五十三中家属院,8539,高新-公交五公司 雁塔区白沙路中段,108.905181,34.224073,高新一期,二手房,1998,0
外贸单位家属院,24525,高新-高新一中 高新一路37号,108.892278,34.220219,高新二期,二手房,2004,0
外贸局家属院(科技路),,高新-高新一中 高新一路37号,108.892278,34.220219,高新二期,二手房,,0
万达·天鼎小区,,高新-科技六路 唐延路与科技六路交汇处(东南角),108.885282,34.204418,高新二期,二手房,,0
西安昆明城市花园,,高新-大寨路 昆明路三号桥对面创新路北口,108.876683,34.245477,高新一期,二手房,2017,0
新科花园,8663,高新-徐家庄 科技路和白沙路交汇处向西150米,108.902768,34.221308,高新二期,二手房,1998,0
新科大厦,8737,高新-徐家庄 科技路18号,108.903073,34.222373,高新二期,二手房,2008,0
西电科大家属院,12090,高新-公交五公司 光华路西安电子科技大学,108.908350,34.222542,高新一期,二手房,2009,0
鑫汇苑小区,6087,高新-大寨路 昆明路三号桥附近,108.877894,34.245658,高新一期,二手房,2009,0
消防小区,12830,高新-科技六路 科技七路8号,108.877930,34.201203,高新二期,二手房,2002,0
鑫宇住宅小区,17753,高新-高新一中 高新区科技一路2号,108.896909,34.218055,高新二期,二手房,2007,0
西大家属院,15093,高新-高新四路 高新四路西大桃园校区,108.879243,34.146360,高新一期,二手房,2009,0
西水水岸阳光,29658,高新-科技六路 丈八沟街道科技七路4号,108.879976,34.201272,高新二期,二手房,2016,0
信合小区家属院,25449,高新-科技路西口 科技路西口华润万家旁边,108.209091,34.152613,高新一期,二手房,2005,0
响塘文苑,31404,高新-科技路西口 科技路298号,108.872205,34.233798,高新一期,二手房,2015,0
西安医学院高新校区,12091,高新-徐家庄 (雁塔) 西安医学院高新校区,108.903583,34.232041,高新二期,二手房,2005,0
西安文理学院太白校区家属院,8583,高新-徐家庄 (雁塔) 太白南路212号,108.906167,34.215215,高新二期,二手房,1997,0
西安市天燃气总公司住宅小区,8687,高新-大寨路 丈八北路540号,108.863218,34.242780,高新一期,二手房,1998,0
西安焦化老南区小区,7704,高新-科技六路 丈八北路1号,108.883689,34.227024,高新二期,二手房,1998,0
西安焦化厂丈八北路小区,,高新-大寨路 丈八北路1号,108.866190,34.245081,高新一期,二手房,,0
西滩村安置小区,,高新-锦业路 丈八西路,108.837875,34.193706,高新二期,二手房,,0
辛家坡花园小区,,高新-科技六路 太白南路,108.920759,34.226615,高新二期,二手房,1993,0
