名称,均价(元/㎡),地址,经度,纬度,片区,类型,建成年份,在售套数
肖里新居时代,,高新-鱼化寨 富源二路195号,108.796627,34.161763,高新二期,二手房,2013,0
细柳社区,,高新-锦业路 毕原二路,108.796572,34.163222,高新二期,二手房,2013,0
西北物资家属院,,高新-太白立交 友谊西路470号,108.905626,34.234529,高新一期,二手房,,0
西安通信学院生活区,,高新-电子城 丈东八路,108.920233,34.189919,高新一期,二手房,,0
西安市残疾人联合会家属院,,高新-太白立交 二环南路西段17号,109.007282,34.235482,高新一期,二手房,,0
西安电子科技大学长安校区家属区E区,,高新-大学城 西沣路,108.826035,34.110814,高新二期,二手房,1998,0
西安电子科技大学长安校区家属区,,高新-大学城 西太路,108.822211,34.114982,高新三期,二手房,1998,0
赢园雅筑,9150,高新-软件园 高新开发区科技一路59号,108.867172,34.222946,软件新城,二手房,2008,0
雍信花园,14737,高新-高新一中 高新路附49号,108.899463,34.222900,高新一期,二手房,2002,0
亚美大厦,13623,高新-高新四路 陕西省西安市高新区科技路39号,108.894076,34.227612,高新一期,二手房,2000,0
阳光公寓,11751,高新-高新一中 科技路附28号,108.899690,34.223323,高新二期,二手房,1998,0
药监局家属院,24140,高新-高新四路 高新四路,108.868944,34.211317,高新一期,二手房,2005,0
银河职工公寓,10285,高新-高新一中 (雁塔) 唐延路银河职工公寓,108.885037,34.215487,高新二期,二手房,2008,0
邮政小区(雁塔),13112,高新-高新一中 (雁塔) 科技路36号,108.894249,34.226002,高新二期,二手房,2000,0
悦苑,,高新-西万路口 沈家桥四路160号,108.876268,34.166772,高新二期,二手房,,0
岳旗寨安置楼,,高新-鱼化寨 富源五路,108.941113,34.301680,高新二期,二手房,,0
余家庄,,高新-锦业路 丈八西路,108.846031,34.193473,高新二期,二手房,,0
延长石油小区(雁塔区),,高新-科技路西口 沣惠南路,108.880944,34.238501,高新一期,二手房,1998,0
紫薇时光云境,,高新-软件新城 高新区鱼化街办科技五路以南、邵文路以北、化龙..,108.828679,34.224191,软件新城,二手房,2026,0
紫薇华发云峰里,17933,"高新-软件新城 规划二十八路以北,经二十二路以西,经二十六路..",108.814248,34.125975,高新三期,二手房,,0
紫薇云上,27381,高新-大学城 中央创新区纬三十二路与经二十路西北角,108.824711,34.138411,高新三期,二手房,,0
紫薇之家,26088,高新-西万路口 西安市西万路甲字一号,108.948179,34.324889,高新二期,二手房,2000,0
紫薇康馨公寓,12334,高新-锦业路 锦业4路1号,108.858501,34.170140,高新二期,二手房,2006,0
卓越里,,高新-鱼化寨 鱼跃路与富源二路交汇处西北角,108.826914,34.236195,高新二期,二手房,2023,0
紫薇龙腾新世界,10910,高新-公交五公司 西安市雁塔区科技路1号,108.910702,34.220289,高新一期,二手房,2007,0
质检局家属院,14871,高新-高新一中 高新博文路北口,108.971778,34.244038,高新二期,二手房,2001,0
丈八家园,21527,高新-锦业路 丈八北路绿地世纪城附近,108.859966,34.193673,高新二期,二手房,2009,0
中联设计高新家属院,16522,高新-高新一中 高新路与科技一路交汇处华润万家旁,108.894946,34.217914,高新一期,二手房,2010,0
丈八壹号,13048,高新-锦业路 丈八西路丈八一号小区(丈八家园旁),108.860400,34.195208,高新二期,二手房,2003,0
总后西安材料仓库小区,7601,高新-大寨路 (雁塔) 丈八北路829号,108.866256,34.244576,高新一期,二手房,2000,0
紫薇信息公寓,11023,高新-西万路口 太白南路与丈八路交汇处,108.857209,34.160115,高新二期,二手房,2006,0
周宋欣苑,,高新-软件新城 天谷三路,108.817859,34.221332,软件新城,二手房,2024,0
制药厂福利区,,高新-城西客运站 汉城南路,108.922827,34.197086,其他,二手房,2009,0
闸口社区,,高新-锦业路 丈八六路,108.848395,34.196106,高新二期,二手房,2015,0
中铁立丰城市广场小区,,高新-西万路口 丈八东路与子午大道十字西南角,108.896708,34.190892,高新二期,二手房,2017,0
汇鑫高级温泉小区(别墅),,高新-高新四路 二环南路西段6号,108.890267,34.238118,高新一期,二手房,,0
海棠三章凤鸣海棠,,高新-科技六路 雁塔区鱼化寨街道,108.852420,34.209116,高新二期,二手房,,0
企业壹号公园别墅,37222,高新-锦业路 西安高新区长安科技产业园西部大道2号,108.865818,34.163716,高新二期,二手房,2001,0
桃园湖别墅,31761,高新-高新四路 高新四路甲子一号,108.891643,34.236613,高新一期,二手房,2002,0
御玺御峰(别墅),,高新-锦业路 锦业二路十号,108.862926,34.175098,高新二期,二手房,2014,0
紫薇生态城别墅,,高新-西万路口 西安国际社区,108.754176,34.135415,高新二期,二手房,,0
北沈新世纪,,高新-西万路口 西安市市北沈家桥路与长沣路西北角 北沈新世纪,108.890539,34.188301,高新二期,二手房,2018,0
八一社区二测中心,,高新-科技六路 (雁塔) 八一社区二测中心,108.993498,34.227923,高新二期,二手房,,0
陈家庄小区,,高新-科技路西口 科技路68号,108.871476,34.229826,高新一期,二手房,2015,0
茶张馨苑,,高新-科技六路 丈八北路与科技六路十字,108.865930,34.204164,高新二期,二手房,2016,0
创汇社区,,高新-锦业路 郭杜街道定昆池二路与上林苑二路接口,108.820374,34.171939,高新二期,二手房,2008,0
长安三建公司,,高新-锦业路 (雁塔) 西部大道1号,108.930381,34.148441,高新二期,二手房,,0
大仁新苑,,高新-西万路口 西沣路与韦郭路十字往南郭杜建材城对面,108.844016,34.148364,高新二期,二手房,2008,0
地税雁塔分局家属院,8388,高新-徐家庄 (雁塔) 科技路20号,108.902002,34.221989,高新二期,二手房,1998,0
东滩社区南区,,高新-锦业路 丈八西路,108.841251,34.191180,高新二期,二手房,,0
付村花园,,高新-锦业路 锦业二路与丈八四路口,108.859359,34.175129,高新二期,二手房,2007,0
沣惠南路延长石油小区,,高新-科技路西口 西安市科技路与沣惠南路交叉口西北角向北500..,108.880944,34.238501,高新一期,二手房,,0
高新尚居,,高新-锦业路 科技八路与西三环交汇处,108.843427,34.196803,高新二期,二手房,2014,0
甘家寨小区,,高新-徐家庄 科技二路中段,108.895722,34.212907,高新二期,二手房,2012,0
高家堡,,高新-西万路口 西沣二路,108.888030,34.176999,高新二期,二手房,2010,0
鸿锦城天逸,15446,高新-鱼化寨 (雁塔) 化龙三路与科技二路,108.842763,34.220633,高新二期,二手房,2013,0
航天九院七七一所,9302,高新-高新一中 (雁塔) 科技二路,108.906775,34.211675,高新二期,二手房,2000,0
和诚,,高新-科技六路 (雁塔) 和诚,108.883689,34.227024,高新二期,二手房,,0
海升丽呈酒店,,高新-科技六路 沣惠南路34号,108.883689,34.227024,高新一期,二手房,,0
金域牟嘉,,高新-大寨路 高新丈八路与大寨路交汇处(恒大城向西约300..,108.853316,34.241401,高新一期,二手房,2013,0
交警大队家属楼,7547,高新-徐家庄 (长安) 交警大队家属楼,108.996500,34.269000,高新二期,二手房,1998,0
昆明路小区,8226,高新-大寨路 (莲湖) 昆明路19号,108.868026,34.245336,高新一期,二手房,1995,0
科技路西段259号院,,高新-科技路西口 科技路西段259号,108.886041,34.241820,高新一期,二手房,,0
龙韵人和,,高新-软件园 西安市雁塔区鱼丁路甲子一号,108.854093,34.218730,软件新城,二手房,2009,0
绿地缤纷城,,高新-锦业路 (雁塔) 锦业路7号,108.883689,34.227024,高新二期,二手房,2013,0
铭景新城,,高新-大寨路 大寨路与民洁路交汇处向北300米,108.868749,34.243991,高新一期,二手房,2015,0
木塔寺社区,,高新-科技六路 科技六路西万路口万达one木塔寨社区,108.893386,34.204960,高新二期,二手房,2012,0
木塔永和坊,,高新-科技六路 陕西省西安市雁塔区六路中段科技,108.893386,34.204960,高新二期,二手房,2014,0
南窑头小区,,高新-唐延路 西安市高新区科技四路,108.875544,34.212259,高新二期,二手房,2010,0
南沈新苑,,高新-西万路口 雁塔区西沣一路,108.889759,34.177717,高新二期,二手房,2018,0
南窑头社区西区,,高新-软件园 团结南路,108.873354,34.212239,高新一期,二手房,2010,0
铺尚新村花园,,高新-锦业路 丈八西路与丈八六路十字路口的西北角,108.845650,34.195460,高新二期,二手房,,0
培华学院东区,8979,高新-徐家庄 (雁塔) 白沙路5号,108.904299,34.219626,高新二期,二手房,1998,0
日化南苑,10258,高新-科技路西口 鱼斗路18号,108.858290,34.224357,高新一期,二手房,2017,0
融鑫路小区,9424,高新-徐家庄 (雁塔) 融鑫路六号,108.907355,34.218056,高新二期,二手房,2008,0
盛景园,,高新-科技路西口 团结南路18号,108.874653,34.238216,高新一期,二手房,2007,0
石桥欣苑,,高新-鱼化寨 西三环与大寨路的交界处,108.837578,34.236595,高新一期,二手房,2009,0
水利社区,6024,高新-软件园 中国鱼化寨5号,108.981061,34.257864,软件新城,二手房,2002,0
陕煤小区,11891,高新-锦业路 锦业一路2号,108.879185,34.184859,高新二期,二手房,2004,0
陕西省药品监督管理局家属院,15040,高新-软件园 (雁塔) 科技五路23号,108.868944,34.211317,软件新城,二手房,2021,0
太白里住宅小区,,高新-科技六路 太白南路中段(科技六路与丈八路之间兰乔圣菲对..,108.894419,34.202230,高新二期,二手房,2011,0
团结南路停车场,,高新-科技路西口 (雁塔) 团结南路2号,108.873800,34.225240,高新一期,二手房,2003,0
唐延路北段小区,,高新-科技路西口 (雁塔) 唐延路北段136号,108.883981,34.234069,高新一期,二手房,2000,0
文兴巷新兴大厦,,高新-科技路西口 文兴巷新兴大厦,108.867813,34.234717,高新一期,二手房,2001,0
新乐城,,高新-科技路西口 大寨路与丈八北路十字东南,108.866594,34.238703,高新一期,二手房,2011,0
曦城,,高新-鱼化寨 西三环与昆明路十字西南角(大寨路小学对面),108.824652,34.243896,高新一期,二手房,2014,0
新栋,,高新-科技路西口 丈八北路491号,108.869629,34.234646,高新一期,二手房,2014,0
西辛庄小区,,高新-科技路西口 西安市唐兴路,108.869461,34.228361,高新一期,二手房,2010,0
响塘德苑,,高新-科技路西口 团结南路,108.873829,34.237142,高新一期,二手房,2014,0
西安木塔寨南村安置楼,,高新-科技六路 西安市雁塔区太白南路23号,108.890927,34.197062,高新二期,二手房,2016,0
西桃园社区,10336,高新-高新四路 西关街道群贤路280号,108.888292,34.238794,高新一期,二手房,2017,0
西沣馨苑,,高新-西万路口 沈家桥三路,108.882064,34.171595,高新二期,二手房,2010,0
西沙湖花园,7406,高新-锦业路 丈八西路与西三环交叉路口往西约100米,108.837875,34.193706,高新二期,二手房,2019,0
西北大学桃园校区,10506,"高新-高新四路 (雁塔) 高新四路, 高新四路155号",108.890182,34.234816,高新一期,二手房,2000,0
新新佳园,,高新-高新一中 (雁塔) 枫林路与科技二路交叉口,108.752012,34.311944,高新二期,二手房,,0
西安大都荟,14096,高新-高新四路 科技路305号,108.886725,34.230575,高新一期,二手房,2001,0
西安电子科技大学社区S,,高新-公交五公司 (雁塔) 西安电子科技大学社区S,108.908350,34.222542,高新一期,二手房,1998,0
星晖瑾园,,高新-高新一中 安区五星街道,108.811324,34.079156,高新二期,二手房,,0
袁旗寨新村,,高新-锦业路 丈八西路与丈八六路十字路口的西南角,108.846516,34.190671,高新二期,二手房,2002,0
鱼斗路小区,,高新-科技路西口 (雁塔) 鱼斗路36号,108.846129,34.217596,高新一期,二手房,2007,0
丈八南村,,高新-锦业路 西安市高新区丈八路,108.847947,34.193471,高新二期,二手房,2009,0
丈八西村,,高新-锦业路 西安市雁塔区丈八街道,108.928837,34.240755,高新二期,二手房,,0
漳浒寨雷家寨安置楼,,"高新-软件新城 天谷五路,近云水一路",108.831625,34.213675,软件新城,二手房,2017,0
皂河路小区,,高新-锦业路 (长安) 皂河路158,108.937633,34.143271,高新二期,二手房,,0
丈八北路北段小区,9611,高新-科技路西口 (雁塔) 丈八北路9号,108.866413,34.236234,高新一期,二手房,2001,0
丈八一号,,高新-锦业路 (雁塔) 瞪羚路丈八一号,108.860400,34.195208,高新二期,二手房,2003,0
紫薇田园都市饮食街,,高新-锦业路 (长安) 紫薇田园都市中式文化大街,108.864943,34.169846,高新二期,二手房,,0
金茂璞逸高新,33211,高新区科技六路以北、化龙三路以东,108.845540,34.207078,高新二期,新房,,
绿城·长安玉华,31421,高新区丝路软件城科技七路以南、科技八路以北、鱼化三路以西,108.859956,34.202052,高新二期,新房,,
邦泰·观宸高新,21060,软件新城天谷四路以北、云水四路以西,108.816886,34.219255,软件新城,新房,,
绿城熙海棠,20896,雁塔区雁环路28号,108.843774,34.210392,高新二期,新房,,
绿城锦海棠,20896,科技七路与鱼化三路交汇处西北角,108.855816,34.202857,高新二期,新房,,
高科·天樾云河,18977,高新区国际社区大吉环道以东、灵韵二路以南,109.061795,34.289865,国际社区,新房,,
铁建越秀·高新璞悦,22313,科技路与鱼化三路交汇向南200米,108.852571,34.228825,高新一期,新房,,
阅山境,21000,规划八路以西、经二十二路以东,113.985336,22.579958,高新三期,新房,,
未来之境,25000,CID·未来之瞳·曈芯一环,109.022984,34.363375,高新三期,新房,,
高科紫薇时光云瀚,17200,创智路以西,108.816634,34.126337,其他,新房,,
高科·紫薇嘉境(南),18000,兴德路与星虹二路交汇处东北角,108.815050,34.134256,其他,新房,,
高科·轩阅里,15200,鱼斗路与西三环相交东南角,108.836955,34.224649,其他,新房,,
招商天青雲麓,25000,高新区西太路,108.811014,34.130345,高新三期,新房,,
越秀铁建·西派天悦,22546,成业大道与创智路交汇处,108.813231,34.139502,其他,新房,,
沣和居,17000,国际社区灵秀一路以东,108.756993,34.130154,国际社区,新房,,
荣民壹号,22000,科技路与高新三路交汇西北角,108.890213,34.229494,高新一期,新房,,
华宇·御璟天宸,22000,地铁6号线仁村站D口向东200米,108.840598,34.145853,其他,新房,,
中铁盈创中心,14800,星虹一路未来之瞳旁,108.820012,34.139900,高新三期,新房,,
招商雲蘭,24000,丝路创新区经二十六路西侧,108.811070,34.128838,高新三期,新房,,
中建悦庐·学府,29000,兴隆街道纬二十六路以北,108.830752,34.149482,高新三期,新房,,
高科·紫薇嘉境(北),22500,纬三十四路以南,108.816127,34.136179,高新三期,新房,,
领汇ONE,18000,规划八路以西、经二十二路以东,108.819321,34.125804,高新三期,新房,,
紫薇绿城·南山雲庐,28417,秦岭东五路与草堂九路交汇东南侧,108.971982,34.135404,其他,新房,,
秦商国际中心,20000,锦业一路与丈八一路十字西北角,108.877775,34.185775,高新二期,新房,,
糖果SOHO,14000,科技六路与唐延路交汇处西南,108.879538,34.203775,高新二期,新房,,
高新6號,15000,大寨路和高新六路十字交汇处西南角,108.812991,34.107267,高新一期,新房,,
启迪中心|创公馆,22000,科技二路67号启迪科技园,108.876616,34.220387,高新一期,新房,,
锦业时代·D5大道,23000,锦业路32号锦业时代,108.872725,34.186870,高新二期,新房,,
高新星荟,11500,西沣二路与西沣路交汇处,108.880491,34.175503,高新二期,新房,,
永和锦湾汇,15000,南三环与里花北路交汇处西北角,108.852864,34.183004,其他,新房,,
赛里斯·壹号,38000,沣惠南路与科技五路交汇处西南角,108.880941,34.209900,高新一期,新房,,
高新芳华,21000,科技一路与团结南路十字向东100米,108.877056,34.221593,高新一期,新房,,
大茂城,20000,科技西路与丈八北路交汇处西北角,108.865404,34.232962,高新二期,新房,,
国瑞·西安金融中心,23000,锦业路10号,108.875696,34.187013,高新二期,新房,,
云水壹号,18000,西三环与天谷七路西北角,108.836343,34.206908,软件新城,新房,,
永威时代中心,25000,丈八二路11号,108.874220,34.184694,高新二期,新房,,
高新视界,14500,沣惠南路与大寨路十字西北角,108.881023,34.239548,高新一期,新房,,
高新NEWORLD,19000,团结南路与科技三路交叉口东南角,108.882833,34.230736,高新一期,新房,,
邦泰观云揽玥府,,高新区云水六路以东、天谷二路以北,108.813753,34.226859,软件新城,新房,,
天地源云和锦上,,高新区天谷六路以北、云水三路以西,108.819891,34.212091,软件新城,新房,,
一品臻樾,,高新区细柳街道纬三十路以北、经三十四路以东,108.806985,34.147770,高新三期,新房,,
玫瑰琬,,高新区星虹二路以东、骏业路以北,109.036341,34.446895,其他,新房,,
研阅星睿,,高新区国际社区灵韵一路以南、灵秀一路以东,108.954608,34.304837,国际社区,新房,,
君临,,科技四路和高新路交汇处西南角,108.883689,34.227024,高新一期,新房,,
福安永泰中心,,高新区丈八街道科技六路以北,108.847665,34.206635,高新二期,新房,,
高新 望云松间,50000,科技七路以北、高新路以东,108.887519,34.202347,高新一期,新房,,
紫薇·时光云邸,,高新区中央创新区经二十二路以东、规划二十八路以北,108.816634,34.126337,高新三期,新房,,
绿地高新全球贸易港|WE未来,,西太路与兴隆一路交叉口,108.808490,34.117268,高新三期,新房,,
太和时代广场,16000,唐延路北段20号,108.880497,34.241451,高新二期,新房,,
万科云谷,25000,陕西宾馆向西约700米,121.453312,29.938580,其他,新房,,
高新·天境,,科技六路以北、鱼化三路以西,108.824246,34.212319,高新二期,新房,,
高新大都荟写字楼,20000,科技路207号,108.886299,34.231465,高新一期,新房,,
嘉和中心,,兴隆街道规划十八路以北,108.821029,34.137669,高新三期,新房,,
竹园嘉华企业总部,,科技二路71号,108.873288,34.219955,高新一期,新房,,
半岛上苑,,太白南路以西、永阳一巷以南,114.659766,35.150503,高新一期,新房,,
泰信大厦,,西安市高新区锦业一路8号,108.876210,34.184835,高新二期,新房,,
高新区化龙一路以西地块,,高新区化龙一路以西、科技五路以南,108.893566,34.376297,高新二期,新房,,
GX3-31-14,,高新区鱼化街办科技四路以南、科技五路以北,108.835248,34.183757,高新二期,新房,,
高新区兴隆街道西太路地块,,高新区兴隆街道西太路以西、纬三十六路以北,108.821172,34.125087,高新三期,新房,,
GX3-42-73-2,,高新区兴隆街道经二十六路以西、经三十二路以东,108.835248,34.183757,高新三期,新房,,
高新区中央创新区兴隆三路地块,,高新区中央创新区兴隆三路以南、经二十二路以东,108.813475,34.134325,高新三期,新房,,
GX3-42-41,,高新区中央创新区规划二十三路以北,108.835248,34.183757,高新三期,新房,,
高新区丈八街道锦业路地块,,高新区丈八街道锦业路以南、丈八五路以东,108.874144,34.188548,高新二期,新房,,
GX3-26-9,,高新区兴隆街道兴隆三路以南、兴隆二路以北,108.817203,34.117528,高新三期,新房,,
高新区中央创新区兴隆三路地块2,,高新区中央创新区兴隆三路以南、规划八路以西,108.814513,34.123008,高新三期,新房,,
高新区丝路科学城兴隆三路地块,,高新区丝路科学城兴隆三路以南、规划八路以东,108.814513,34.123008,高新三期,新房,,
高新区中央创新区兴隆二路地块,,高新区中央创新区兴隆二路以南、经二十二路以东,108.813475,34.134325,高新三期,新房,,
高新区中央创新区兴隆二路地块2,,高新区中央创新区兴隆二路以南、规划八路以西,108.813475,34.134325,高新三期,新房,,
高新区中央创新区兴昌三路地块,,高新区中央创新区兴昌三路以北、星虹一路以东,108.813475,34.134325,高新三期,新房,,
高新区中央创新区兴昌三路地块2,,高新区中央创新区兴昌三路以北,108.813475,34.134325,高新三期,新房,,
GX3-26-35,,高新区中央创新区兴隆三路以南、规划十一路以东,108.835248,34.183757,高新三期,新房,,
GX3-45-29,,高新区国际社区北张内环以北、北张一路以南,108.835248,34.183757,国际社区,新房,,
高新区细柳街办韦斗路地块,,高新区细柳街办韦斗路以南、上林苑四路以东,108.902075,34.229725,其他,新房,,
GX3-42-36-2,,高新区中央创新区兴隆街办纬三十五路以南、经二十二路以东,108.835248,34.183757,高新三期,新房,,
GX3-26-37,,高新区中央创新区兴隆二路以北、规划八路以东,114.240762,30.593104,高新三期,新房,,
高新区丈八街办科技八路地块,,高新区丈八街办科技八路以北、经十三路以西,108.902075,34.229725,高新二期,新房,,
高新区丈八街办科技八路地块2,,高新区丈八街办科技八路以北、科技七路以南,108.853767,34.198402,高新二期,新房,,
高新区GX3-42-71-1,,高新区中央创新区经二十二路以东、纬三十二路以南,108.871617,34.221528,高新三期,新房,,
高新区国际社区GX3-44-15地块,,高新区国际社区灵韵二路以南、灵秀东路以西,108.755825,34.132475,国际社区,新房,,
高新GX3-26-31地块,,高新区兴隆街办兴隆一路以北、双江一路以西,108.894765,34.235575,高新三期,新房,,
高新GX3-26-50地块,,高新区兴隆街办兴隆一路以北、兴隆二路以南,108.894765,34.235575,高新三期,新房,,
高新GX3-36-6地块,,高新区鱼化街办天谷三路以北、云水五路以西,108.865383,34.226905,高新二期,新房,,
高新GX2-2-7-3地块,,高新区团结南路东侧,108.889185,34.231335,高新一期,新房,,
高新大寨路YT7-5-70地块,,大寨路以南、丈八北路以东,108.871468,34.238627,高新一期,新房,,
高新区国际社区GX3-44-11地块,,高新区国际社区灵秀东路以西、灵秀一路以东,108.755825,34.132475,国际社区,新房,,
高新区GX3-26-53地块,,高新区兴隆二路以南、双江二路以东,108.899293,34.201590,高新三期,新房,,
高新区中央创新区GX3-42-47地块,,高新区中央创新区经二十二路以东、纬三十六路以北,108.813475,34.134325,高新三期,新房,,
高新GX3-42-56,,高新区中央创新区纬三十六路以南、经二十二路以东,108.865383,34.226905,高新三期,新房,,
高新GX3-42-50,,高新区中央创新区规划二十八路以南、规划八路以西,108.865383,34.226905,高新三期,新房,,
高新GX3-42-51,,高新区中央创新区兴隆三路以北、规划八路以西,108.865383,34.226905,高新三期,新房,,
高新GX3-18-44,,高新区中央创新区纬二十四路以南、规划九路以西,108.889185,34.231335,高新三期,新房,,
高新GX3-26-45,,高新区中央创新区兴隆二路以北、规划八路以西,108.884851,34.209708,高新三期,新房,,
高新GX3-18-45,,高新区兴隆街办纬二十六路以南、经二十路以西,108.884851,34.209708,高新三期,新房,,
高新GX3-19-14地块,,高新区兴隆街办纬三十二路以北、西沣路以西,108.894765,34.235575,高新二期,新房,,
高新中央创新区GX3-42-5地块,,高新区中央创新区纬三十六路以南、经二十二路以西,108.813475,34.134325,高新三期,新房,,
高新GX3-42-25,,高新区中央创新区纬三十五路以北、经二十六路以西,108.894765,34.235575,高新三期,新房,,
科技二路以南地块,,科技二路以南、经十四路以东,108.818727,34.286773,高新一期,新房,,
高新区国际社区GX3-45-30地块,,高新区国际社区北张环道以北、灵秀一路以东,108.755825,34.132475,国际社区,新房,,
高新区中央创新区GX3-42-17地块,,高新区中央创新区纬三十六路以北、规划七路以西,108.813475,34.134325,高新三期,新房,,
高新区中央创新区GX3-42-43地块,,高新区中央创新区经二十二路以东、纬三十五路以北,108.813475,34.134325,高新三期,新房,,
高新区中央创新区GX3-42-55地块,,高新区中央创新区规划三十七路以北,108.813475,34.134325,高新三期,新房,,
高新GX3-26-43,,高新区中央创新区规划三十四路以南、兴隆一路以北,108.884851,34.209708,高新三期,新房,,
高新GX3-26-44,,高新区中央创新区兴隆二路以北、经二十二路以东,108.865383,34.226905,高新三期,新房,,
高新区GX3-2-55-3,,高新区锦业路与丈八五路十字东南角,108.879293,34.217258,高新二期,新房,,
高新区GX3-26-36地块,,高新区兴隆二路以北、规划十一路以东,108.899293,34.201590,高新三期,新房,,
创新公园,,创新路11号(地铁6号线西部大道C口东50米),108.379757,34.073426,其他,新房,,
高新玖號院,,高新区鱼化街道经十三路以东、科技六路以北,108.820725,34.179625,高新二期,新房,,
招商雲墨,,高新区中央创新区经二十路以西,108.832311,34.150431,高新三期,新房,,
龙湖未来之瞳云河颂,,中央创新区成业大道与星虹二路交汇处,108.815572,34.139443,高新三期,新房,,
高科·枫林九里|境阅里,,高新区科技四路与化龙一路交汇处西南角,108.837129,34.224571,高新二期,新房,,
香榭龙轩,,高新区太白南路以西,108.890773,34.195346,高新一期,新房,,
书香锦程,,科技三路与沣惠南路交汇处向西300米,108.879728,34.216261,高新一期,新房,,
易道郡 玫瑰公馆,,丈八北路80号,108.864130,34.215533,高新二期,新房,,
隆基泰和·云玺领峯,,软件新城天谷三路与云水三路交叉口西北角,108.820733,34.223626,软件新城,新房,,
九树,,科技二路61号,108.885504,34.220140,高新一期,新房,,
万达·天鼎,,唐延路与科技六路交汇处(东南角),108.885282,34.204418,高新二期,新房,,
启迪中心,,科技2路65号,108.876616,34.220387,其他,新房,,
CA创意时代·大西洋,,科技二路西安软件园72号,108.872770,34.219083,高新一期,新房,,
地建·环球中心,,科技路与高新二路交汇处西北角,108.892361,34.228791,高新一期,新房,,
中投国际,,锦业一路10号,108.875276,34.184820,高新二期,新房,,
融城云谷,,科技三路与沣惠南路交汇处往西200米,108.878057,34.217098,高新一期,新房,,
金旅城·体育之窗,,唐延路和科技八路东南角,108.962789,34.314562,高新二期,新房,,
