楼盘名称,参考均价(元/㎡),地址/位置,推断开发商/品牌,状态,数据来源,页码
紫薇时光云境,22000,科技五路与化龙二路交汇处西南角,高科/紫薇,在售,房天下,1
金茂璞逸高新,33211,科技六路以北、化龙三路以东,中国金茂,在售,房天下,1
绿城·长安玉华,31421,丝路软件城科技七路以南、科技八路以北,绿城中国,在售,房天下,1
邦泰·观宸高新,21060,软件新城天谷四路以北、云水四路以西,邦泰集团,在售,房天下,1
中建轨交山海境,19180,科技西路与云水四路交汇处东南角,中国建筑,在售,房天下,1
绿城熙海棠,20896,雁塔区雁环路28号,绿城中国,在售,房天下,1
绿城锦海棠,20896,科技七路与鱼化三路交汇处西北角,绿城中国,在售,房天下,1
高科·天樾云河,18977,国际社区大吉环道以东、灵韵二路以南,西安高科,在售,房天下,1
绿城秋月苑,15472,科技四路与丈八北路交汇处,绿城中国,在售,房天下,1
铁建越秀·高新璞悦,22313,科技路与鱼化三路交汇向南200米,中国铁建/越秀,在售,房天下,1
越秀铁建·樽樾,26000,祝仁路与星桥路交汇处西北角,越秀/中国铁建,在售,房天下,1
天地源·永安观棠,18618,细柳街道纬二十六路以南,天地源,在售,房天下,1
阅山境,21000,规划八路以西、经二十二路以东,,在售,房天下,1
南海·高芯悦澜,15000,科技西路与石驿路交汇处东北角,南海控股,在售,房天下,1
南飞鸿乐境雅荟,17000,经十四路以西、西三环以东,南飞鸿,在售,房天下,1
未来之境,25000,CID·未来之瞳·曈芯一环,,在售,房天下,1
天地源·高新宸樾,23000,科技六路与鱼化一路交叉口西北,天地源,在售,房天下,1
高科紫薇时光云瀚,17200,创智路以西,高科/紫薇,在售,房天下,1
高科·紫薇嘉境(南),18000,兴德路与星虹二路交汇处东北角,高科/紫薇,在售,房天下,1
龙湖·青云阙昱府,18500,创智路与兴昌东街交界处西北,龙湖集团,在售,房天下,1
高科·轩阅里,15200,鱼斗路与西三环相交东南角,西安高科,在售,房天下,2
招商天青雲麓,25000,高新区西太路,招商蛇口,在售,房天下,2
高科·枫林九里|檀阅里,17500,科技西路与鱼化三路交汇处西南角,西安高科,在售,房天下,2
中国铁建西派玺悦,27114,星虹二路以西、隆盛路以东,中国铁建,在售,房天下,2
越秀铁建·西派天悦,22546,成业大道与创智路交汇处,越秀/中国铁建,在售,房天下,2
高科·云天,32000,天谷三路与云水三路十字交汇处东北角,西安高科,在售,房天下,2
沣和居,17000,国际社区灵秀一路以东,,待售,房天下,2
荣民壹号,22000,科技路与高新三路交汇西北角,荣民控股,在售,房天下,2
金泰和樾,21500,科技七路与化龙二路十字东南角,金泰,在售,房天下,2
华宇·御璟天宸,22000,地铁6号线仁村站D口向东200米,华宇集团,在售,房天下,2
天琴湾,17686,创汇路34号,,在售,房天下,2
中铁盈创中心,14800,星虹一路未来之瞳旁,中国中铁,在售,房天下,2
天地源棠颂坊,22000,中央创新区纬三十五路以北,天地源,在售,房天下,2
紫薇华发云峰里,21000,规划二十八路以北,紫薇/华发,在售,房天下,2
招商雲蘭,24000,丝路创新区经二十六路西侧,招商蛇口,在售,房天下,2
中建悦庐·学府,29000,兴隆街道纬二十六路以北,中国建筑,在售,房天下,2
高科·紫薇嘉境(北),22500,纬三十四路以南,高科/紫薇,在售,房天下,2
紫薇云上,28000,中央创新区纬三十二路与经二十路西北角,紫薇/高科,在售,房天下,2
天地源·永安华府,26000,中央创新区经二十六路和纬三十路交汇东南角,天地源,在售,房天下,2
领航·云熙,13500,科技路与高新六路交汇处向北200米,领航置业,在售,房天下,2
高新·云熙港,21000,三期规划六路与规划十六路交汇处,,在售,房天下,3
领汇ONE,18000,规划八路以西、经二十二路以东,,在售,房天下,3
碧桂园·高新云墅,23487,纬三十四路以北、经二十二路以西,碧桂园,在售,房天下,3
曲江文商·檀境,42000,未来之瞳北30米,曲江文商,在售,房天下,3
锦悦府,17200,锦业二路与丈八六路十字东南角,,待售,房天下,3
高新·天谷雅舍,23500,天谷四路以北、云水三路以东,,在售,房天下,3
紫薇绿城·南山雲庐,28417,秦岭东五路与草堂九路交汇东南侧,紫薇/绿城,在售,房天下,3
秦商国际中心,20000,锦业一路与丈八一路十字西北角,秦商集团,在售,房天下,3
糖果SOHO,14000,科技六路与唐延路交汇处西南,,在售,房天下,3
高新6号,15000,大寨路和高新六路十字交汇处西南角,,在售,房天下,3
启迪中心|创公馆,22000,科技二路67号启迪科技园,启迪控股,在售,房天下,3
锦业时代·D5大道,23000,锦业路32号锦业时代B1(1F),,在售,房天下,3
高新星荟,11500,西沣二路与西沣路交汇处,,在售,房天下,3
永和锦湾汇,15000,南三环与里花北路交汇处西北角,永和地产,在售,房天下,3
荣民捌号,19000,科技一路与丈八北路交汇处东南角,荣民控股,在售,房天下,3
赛里斯·壹号,38000,沣惠南路与科技五路交汇处西南角,赛里斯,在售,房天下,3
高新芳华,21000,科技一路与团结南路十字向东100米,,在售,房天下,3
大茂城,20000,科技西路与丈八北路交汇处西北角,,在售,房天下,3
高新尊贵壹方,19500,科技路与丈八北路交汇向南300米,,在售,房天下,3
国瑞·西安金融中心,23000,锦业路10号,国瑞置业,在售,房天下,3